,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,43,1.13,126,83,.659,22,7,9,10,26.3,,,,
Aston Villa,3,38,38,3420,35,0.92,135,100,.741,15,13,10,9,23.7,,,,
Bradford City,4,38,38,3420,68,1.79,240,172,.717,9,9,20,7,18.4,,,,
Chelsea,2,38,38,3420,34,0.89,132,98,.742,18,11,9,17,44.7,,,,
Coventry City,2,38,38,3420,54,1.42,213,159,.746,12,8,18,9,23.7,,,,
Derby County,2,38,38,3420,57,1.50,196,139,.709,9,11,18,11,28.9,,,,
Everton,3,38,38,3420,49,1.29,206,157,.762,12,14,12,11,28.9,,,,
Leeds United,1,38,38,3420,43,1.13,189,146,.772,21,6,11,13,34.2,,,,
Leicester City,2,38,38,3420,55,1.45,179,124,.693,16,7,15,8,21.1,,,,
Liverpool,2,38,38,3420,30,0.79,129,99,.767,19,10,9,15,39.5,,,,
Manchester Utd,4,38,38,3421,45,1.18,156,111,.712,28,7,3,12,31.6,,,,
Middlesbrough,2,38,38,3420,49,1.29,234,185,.791,14,10,14,9,23.7,,,,
Newcastle Utd,4,38,38,3420,54,1.42,150,96,.640,14,10,14,12,31.6,,,,
Sheffield Weds,2,38,38,3420,70,1.84,232,162,.698,8,7,23,7,18.4,,,,
Southampton,3,38,38,3448,62,1.62,212,150,.708,12,8,18,11,28.9,,,,
Sunderland,2,38,38,3420,56,1.47,191,135,.707,16,10,12,16,42.1,,,,
Tottenham,1,38,38,3420,49,1.29,163,114,.699,15,8,15,8,21.1,,,,
Watford,2,38,38,3420,77,2.03,220,143,.650,6,6,26,6,15.8,,,,
West Ham,5,38,38,3483,53,1.37,193,140,.725,15,10,13,10,26.3,,,,
Wimbledon,2,38,38,3420,74,1.95,256,182,.711,7,12,19,5,13.2,,,,
