,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,36,0.95,146,110,.753,25,8,5,16,42.1,,,,
Aston Villa,2,38,38,3420,52,1.37,236,184,.780,12,11,15,11,28.9,,,,
Birmingham City,1,38,38,3420,46,1.21,212,166,.783,11,12,15,9,23.7,,,,
Blackburn,1,38,38,3420,43,1.13,227,184,.811,9,15,14,15,39.5,,,,
Bolton,3,38,38,3420,44,1.16,179,135,.754,16,10,12,8,21.1,,,,
Charlton Ath,2,38,38,3420,58,1.53,232,174,.750,12,10,16,12,31.6,,,,
Chelsea,2,38,38,3420,15,0.39,112,97,.866,29,8,1,25,65.8,,,,
Crystal Palace,2,38,38,3420,62,1.63,291,229,.787,7,12,19,10,26.3,,,,
Everton,2,38,38,3420,46,1.21,194,148,.763,18,7,13,13,34.2,,,,
Fulham,2,38,38,3420,60,1.58,258,198,.767,12,8,18,8,21.1,,,,
Liverpool,3,38,38,3420,41,1.08,171,130,.760,17,7,14,7,18.4,,,,
Manchester City,1,38,38,3420,39,1.03,195,156,.800,13,13,12,11,28.9,,,,
Manchester Utd,2,38,38,3420,26,0.68,106,80,.755,22,11,5,19,50.0,,,,
Middlesbrough,3,38,38,3420,46,1.21,213,167,.784,14,13,11,11,28.9,,,,
Newcastle Utd,2,38,38,3420,57,1.50,236,179,.758,10,14,14,6,15.8,,,,
Norwich City,2,38,38,3420,77,2.03,291,214,.735,7,12,19,6,15.8,,,,
Portsmouth,3,38,38,3420,59,1.55,266,207,.778,10,9,19,5,13.2,,,,
Southampton,4,38,38,3420,68,1.79,170,102,.600,6,14,18,7,18.4,,,,
Tottenham,2,38,38,3420,41,1.08,217,176,.811,14,10,14,13,34.2,,,,
West Brom,2,38,38,3420,61,1.61,247,186,.753,6,16,16,7,18.4,,,,
