,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,38,38,3330,41,1.11,147,106,.721,24,7,7,17,44.7,,,,
Aston Villa,1,38,38,3420,61,1.61,174,113,.649,10,8,20,9,23.7,,,,
Cardiff City,2,38,38,3420,74,1.95,220,146,.664,7,9,22,7,18.4,,,,
Chelsea,2,38,38,3420,27,0.71,121,94,.777,25,7,6,18,47.4,,,,
Crystal Palace,2,38,38,3420,48,1.26,169,121,.716,13,6,19,12,31.6,,,,
Everton,2,38,38,3420,39,1.03,148,109,.736,21,9,8,15,39.5,,,,
Fulham,2,38,38,3420,85,2.24,241,156,.647,9,5,24,5,13.2,,,,
Hull City,3,38,38,3419,53,1.40,164,111,.677,10,7,21,10,26.3,,,,
Liverpool,1,38,38,3420,50,1.32,152,102,.671,26,6,6,10,26.3,,,,
Manchester City,2,38,38,3420,37,0.97,126,89,.706,27,5,6,16,42.1,,,,
Manchester Utd,2,38,38,3420,43,1.13,143,100,.699,19,7,12,13,34.2,,,,
Newcastle Utd,2,38,38,3420,59,1.55,170,111,.653,15,4,19,10,26.3,,,,
Norwich City,1,38,38,3420,62,1.63,189,127,.672,8,9,21,12,31.6,,,,
Southampton,3,38,38,3420,46,1.21,132,86,.652,15,11,12,15,39.5,,,,
Stoke City,3,38,38,3420,52,1.37,173,121,.699,13,11,14,9,23.7,,,,
Sunderland,2,38,38,3420,60,1.58,217,157,.724,10,8,20,11,28.9,,,,
Swansea City,2,38,38,3420,54,1.42,155,101,.652,11,9,18,8,21.1,,,,
Tottenham,2,38,38,3420,51,1.34,152,101,.664,21,6,11,14,36.8,,,,
West Brom,3,38,38,3420,59,1.55,174,115,.661,7,15,16,7,18.4,,,,
West Ham,2,38,38,3420,51,1.34,193,142,.736,11,7,20,14,36.8,,,,
