,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,38,38,3420,49,1.29,135,86,.637,21,7,10,13,34.2,,,,
Aston Villa,2,38,38,3420,53,1.39,185,132,.714,7,17,14,9,23.7,,,,
Blackburn,3,38,38,3420,78,2.05,190,112,.589,8,7,23,3,7.9,,,,
Bolton,2,38,38,3420,77,2.03,233,156,.670,10,6,22,3,7.9,,,,
Chelsea,3,38,38,3420,46,1.21,161,115,.714,18,10,10,10,26.3,,,,
Everton,1,38,38,3420,40,1.05,138,98,.710,15,11,12,12,31.6,,,,
Fulham,2,38,38,3420,51,1.34,200,149,.745,14,10,14,11,28.9,,,,
Liverpool,3,38,38,3412,40,1.06,137,97,.708,14,10,14,12,31.6,,,,
Manchester City,1,38,38,3420,29,0.76,133,104,.782,28,5,5,17,44.7,,,,
Manchester Utd,3,38,38,3420,33,0.87,159,126,.792,28,5,5,20,52.6,,,,
Newcastle Utd,1,38,38,3420,51,1.34,176,125,.710,19,8,11,15,39.5,,,,
Norwich City,2,38,38,3420,66,1.74,228,162,.711,12,11,15,3,7.9,,,,
QPR,2,38,38,3420,66,1.74,207,141,.681,10,7,21,7,18.4,,,,
Stoke City,2,38,38,3420,53,1.39,177,124,.701,11,12,15,9,23.7,,,,
Sunderland,3,38,38,3420,46,1.21,170,124,.729,11,12,15,12,31.6,,,,
Swansea City,2,38,38,3420,51,1.34,198,147,.742,12,11,15,14,36.8,,,,
Tottenham,1,38,38,3420,41,1.08,163,122,.748,20,9,9,14,36.8,,,,
West Brom,2,38,38,3420,52,1.37,171,119,.696,13,8,17,10,26.3,,,,
Wigan Athletic,1,38,38,3420,62,1.63,200,138,.690,11,10,17,8,21.1,,,,
Wolves,3,38,38,3420,82,2.16,271,189,.697,5,10,23,4,10.5,,,,
