,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,28,24.1,,38,418,,65,48,5,5,58,3,1.71,1.26,2.97,1.58,2.84
Aston Villa,21,27.1,,38,418,,48,35,4,5,53,2,1.26,0.92,2.18,1.16,2.08
Blackburn,28,28.3,,38,418,,40,28,4,7,73,4,1.05,0.74,1.79,0.95,1.68
Bolton,24,27.3,,38,418,,40,28,0,1,62,1,1.05,0.74,1.79,1.05,1.79
Chelsea,29,27.5,,38,418,,65,45,2,2,50,2,1.71,1.18,2.89,1.66,2.84
Everton,25,26.4,,38,417,,54,38,4,5,49,1,1.42,1.00,2.42,1.32,2.32
Fulham,25,28.8,,38,418,,39,24,5,5,40,1,1.03,0.63,1.66,0.89,1.53
Hull City,29,27.7,,38,418,,35,17,3,3,70,3,0.92,0.45,1.37,0.84,1.29
Liverpool,23,26.5,,38,418,,73,50,5,6,50,0,1.92,1.32,3.24,1.79,3.11
Manchester City,34,24.5,,38,418,,56,35,6,7,49,4,1.47,0.92,2.39,1.32,2.24
Manchester Utd,33,27.1,,38,418,,68,51,4,4,61,5,1.79,1.34,3.13,1.68,3.03
Middlesbrough,28,24.5,,38,418,,26,17,1,3,54,3,0.68,0.45,1.13,0.66,1.11
Newcastle Utd,29,26.8,,38,417,,39,23,4,5,57,8,1.03,0.61,1.63,0.92,1.53
Portsmouth,29,28.6,,38,417,,36,25,2,3,57,5,0.95,0.66,1.61,0.89,1.55
Stoke City,29,28.5,,38,418,,36,23,5,6,73,5,0.95,0.61,1.55,0.82,1.42
Sunderland,30,26.1,,38,418,,32,19,1,1,69,1,0.84,0.50,1.34,0.82,1.32
Tottenham,29,24.9,,38,418,,43,30,3,4,54,5,1.13,0.79,1.92,1.05,1.84
West Brom,30,25.2,,38,418,,34,23,3,5,66,1,0.89,0.61,1.50,0.82,1.42
West Ham,30,26.6,,38,418,,41,25,1,3,66,4,1.08,0.66,1.74,1.05,1.71
Wigan Athletic,29,26.5,,38,418,,33,15,5,5,59,4,0.87,0.39,1.26,0.74,1.13
