,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,24,26.3,,38,417,,86,68,3,4,46,1,2.26,1.79,4.05,2.18,3.97
Aston Villa,21,25.7,,38,421,,43,34,3,6,55,2,1.13,0.89,2.03,1.05,1.95
Birmingham City,25,27.9,,38,417,,37,24,2,2,62,3,0.97,0.63,1.61,0.92,1.55
Blackburn,27,27.7,,38,414,,31,24,2,3,73,5,0.82,0.63,1.45,0.76,1.39
Bolton,24,28.6,,38,418,,49,33,5,6,58,2,1.29,0.87,2.16,1.16,2.03
Charlton Ath,21,28.0,,38,414,,41,28,0,0,38,4,1.08,0.74,1.82,1.08,1.82
Chelsea,27,25.2,,38,422,,71,58,5,6,49,0,1.87,1.53,3.39,1.74,3.26
Crystal Palace,26,25.7,,38,418,,43,26,10,12,58,3,1.13,0.68,1.82,0.87,1.55
Everton,21,28.5,,38,414,,45,34,2,3,56,4,1.18,0.89,2.08,1.13,2.03
Fulham,24,27.7,,38,418,,52,39,2,4,56,7,1.37,1.03,2.39,1.32,2.34
Liverpool,28,26.2,,38,414,,49,42,3,5,46,2,1.29,1.11,2.39,1.21,2.32
Manchester City,24,27.3,,38,418,,45,33,5,6,44,3,1.18,0.87,2.05,1.05,1.92
Manchester Utd,24,26.1,,38,416,,57,45,3,4,56,5,1.50,1.18,2.68,1.42,2.61
Middlesbrough,27,28.4,,38,418,,49,39,1,1,54,2,1.29,1.03,2.32,1.26,2.29
Newcastle Utd,26,26.1,,38,435,,44,32,3,3,63,5,1.16,0.84,2.00,1.08,1.92
Norwich City,25,27.6,,38,422,,41,29,3,4,36,2,1.08,0.76,1.84,1.00,1.76
Portsmouth,23,27.4,,38,386,,41,30,6,6,52,2,1.08,0.79,1.87,0.92,1.71
Southampton,30,28.5,,38,415,,44,30,3,3,45,2,1.16,0.79,1.95,1.08,1.87
Tottenham,27,24.8,,38,412,,47,32,1,1,55,1,1.24,0.84,2.08,1.21,2.05
West Brom,26,27.2,,38,422,,34,25,2,3,41,5,0.89,0.66,1.55,0.84,1.50
