,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,41,1.08,129,88,.682,23,6,9,14,36.8,,,,
Aston Villa,1,38,38,3420,39,1.03,186,147,.790,17,13,8,15,39.5,,,,
Birmingham City,2,38,38,3420,47,1.24,208,161,.774,13,11,14,11,28.9,,,,
Blackburn,2,38,38,3420,55,1.45,176,121,.688,13,11,14,13,34.2,,,,
Bolton,1,38,38,3420,67,1.76,208,141,.678,10,9,19,5,13.2,,,,
Burnley,2,38,38,3420,82,2.16,234,152,.650,8,6,24,3,7.9,,,,
Chelsea,3,38,38,3420,32,0.84,113,81,.717,27,5,6,18,47.4,,,,
Everton,1,38,38,3420,49,1.29,170,121,.712,16,13,9,11,28.9,,,,
Fulham,2,38,38,3420,46,1.21,176,130,.739,12,10,16,12,31.6,,,,
Hull City,2,38,38,3420,75,1.97,236,161,.682,6,12,20,7,18.4,,,,
Liverpool,1,38,38,3420,35,0.92,139,104,.748,18,9,11,17,44.7,,,,
Manchester City,3,38,38,3420,45,1.18,157,112,.713,18,13,7,11,28.9,,,,
Manchester Utd,3,38,38,3420,28,0.74,146,118,.808,27,4,7,19,50.0,,,,
Portsmouth,3,38,38,3420,66,1.74,211,145,.687,7,7,24,7,18.4,,,,
Stoke City,3,38,38,3420,48,1.26,192,144,.750,11,14,13,14,36.8,,,,
Sunderland,2,38,38,3420,56,1.47,199,143,.719,11,11,16,7,18.4,,,,
Tottenham,3,38,38,3420,41,1.08,178,137,.770,21,7,10,13,34.2,,,,
West Ham,2,38,38,3420,66,1.74,193,127,.658,8,11,19,8,21.1,,,,
Wigan Athletic,3,38,38,3420,79,2.08,206,127,.617,9,9,20,8,21.1,,,,
Wolves,2,38,38,3420,56,1.47,225,169,.751,9,11,18,8,21.1,,,,
