,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,17,0.45,124,107,.863,22,12,4,23,60.5,,,,
Aston Villa,3,38,38,3420,46,1.21,204,158,.775,15,10,13,15,39.5,,,,
Blackburn,3,38,38,3420,52,1.37,189,137,.725,7,14,17,10,26.3,,,,
Charlton Ath,3,38,38,3284,56,1.53,178,122,.685,8,12,18,11,28.9,,,,
Chelsea,3,38,38,3330,30,0.81,136,106,.779,20,15,3,15,39.5,,,,
Coventry City,2,38,38,3420,51,1.34,202,151,.748,11,9,18,7,18.4,,,,
Derby County,2,38,38,3450,45,1.17,193,148,.767,13,13,12,12,31.6,,,,
Everton,1,38,38,3420,47,1.24,177,130,.734,11,10,17,14,36.8,,,,
Leeds United,2,38,38,3420,34,0.89,207,173,.836,18,13,7,15,39.5,,,,
Leicester City,2,38,38,3420,46,1.21,198,152,.768,12,13,13,14,36.8,,,,
Liverpool,2,38,38,3420,49,1.29,181,132,.729,15,9,14,8,21.1,,,,
Manchester Utd,2,38,38,3420,37,0.97,146,109,.747,22,13,3,13,34.2,,,,
Middlesbrough,2,38,38,3420,54,1.42,258,204,.791,12,15,11,5,13.2,,,,
Newcastle Utd,2,38,38,3420,54,1.42,161,107,.665,11,13,14,13,34.2,,,,
Nott'ham Forest,2,38,38,3420,69,1.82,225,156,.693,7,9,22,6,15.8,,,,
Sheffield Weds,2,38,38,3440,42,1.10,192,150,.781,13,7,18,12,31.6,,,,
Southampton,2,38,38,3420,64,1.68,207,143,.691,11,8,19,9,23.7,,,,
Tottenham,3,38,38,3420,50,1.32,179,129,.721,11,14,13,12,31.6,,,,
West Ham,2,38,38,3453,53,1.38,256,203,.793,16,9,13,16,42.1,,,,
Wimbledon,1,38,38,3420,63,1.66,258,195,.756,10,12,16,7,18.4,,,,
