,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,24,25.1,,38,417,,60,48,10,11,51,3,1.58,1.26,2.84,1.32,2.58
Aston Villa,29,25.2,,38,436,,45,31,6,8,47,1,1.18,0.82,2.00,1.03,1.84
Blackburn,27,28.2,,38,399,,49,33,5,7,81,8,1.29,0.87,2.16,1.16,2.03
Bolton,22,28.2,,38,423,,45,35,6,7,84,4,1.18,0.92,2.11,1.03,1.95
Charlton Ath,28,27.1,,38,429,,32,22,4,4,60,4,0.84,0.58,1.42,0.74,1.32
Chelsea,25,26.7,,38,418,,58,49,3,4,65,4,1.53,1.29,2.82,1.45,2.74
Everton,24,26.9,,38,411,,50,35,8,8,70,2,1.32,0.92,2.24,1.11,2.03
Fulham,24,28.2,,38,424,,36,27,3,3,60,3,0.95,0.71,1.66,0.87,1.58
Liverpool,28,26.1,,38,419,,56,44,6,7,43,0,1.47,1.16,2.63,1.32,2.47
Manchester City,26,25.8,,38,394,,28,21,2,4,58,4,0.74,0.55,1.29,0.68,1.24
Manchester Utd,25,27.3,,38,418,,80,60,5,6,58,1,2.11,1.58,3.68,1.97,3.55
Middlesbrough,26,25.4,,38,418,,43,33,4,5,65,2,1.13,0.87,2.00,1.03,1.89
Newcastle Utd,29,26.1,,38,418,,38,26,5,5,69,1,1.00,0.68,1.68,0.87,1.55
Portsmouth,22,28.4,,38,405,,40,31,2,3,51,1,1.05,0.82,1.87,1.00,1.82
Reading,23,26.9,,38,418,,48,38,3,3,41,3,1.26,1.00,2.26,1.18,2.18
Sheffield Utd,30,25.9,,38,408,,31,21,2,4,71,2,0.82,0.55,1.37,0.76,1.32
Tottenham,26,25.1,,38,418,,56,37,5,5,51,4,1.47,0.97,2.45,1.34,2.32
Watford,28,25.4,,38,390,,24,18,3,3,48,2,0.63,0.47,1.11,0.55,1.03
West Ham,26,25.6,,38,442,,35,26,1,3,86,2,0.92,0.68,1.61,0.89,1.58
Wigan Athletic,23,27.9,,38,415,,37,24,3,6,81,3,0.97,0.63,1.61,0.89,1.53
