,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,42,42,3780,28,0.67,148,120,.811,18,17,7,21,50.0,,,,
Aston Villa,2,42,42,3850,50,1.17,175,125,.714,15,12,15,12,28.6,,,,
Blackburn,2,42,42,4860,59,1.09,253,194,.767,25,9,8,18,42.9,,,,
Chelsea,2,42,42,3780,53,1.26,192,139,.724,13,12,17,11,26.2,,,,
Coventry City,2,42,42,3780,45,1.07,198,153,.773,14,14,14,14,33.3,,,,
Everton,1,42,42,3780,63,1.50,226,163,.721,12,8,22,10,23.8,,,,
Ipswich Town,2,42,42,3780,58,1.38,247,189,.765,9,16,17,14,33.3,,,,
Leeds United,2,42,42,3780,39,0.93,186,147,.790,18,16,8,18,42.9,,,,
Liverpool,2,42,42,3750,55,1.32,191,136,.712,17,9,16,9,21.4,,,,
Manchester City,2,42,42,3780,49,1.17,201,152,.756,9,18,15,12,28.6,,,,
Manchester Utd,2,42,42,4410,47,0.96,187,140,.749,27,11,4,17,40.5,,,,
Newcastle Utd,3,42,42,3818,41,0.97,200,159,.795,23,8,11,15,35.7,,,,
Norwich City,2,42,42,3780,61,1.45,204,143,.701,12,17,13,10,23.8,,,,
Oldham Athletic,3,42,42,3330,59,1.59,187,128,.684,9,13,20,6,14.3,,,,
QPR,2,42,42,3780,61,1.45,196,135,.689,16,12,14,10,23.8,,,,
Sheffield Utd,2,42,42,3940,60,1.37,192,132,.688,8,18,16,13,31.0,,,,
Sheffield Weds,2,42,42,3780,54,1.29,194,140,.722,16,16,10,10,23.8,,,,
Southampton,2,42,42,2700,43,1.43,144,101,.701,12,7,23,6,14.3,,,,
Swindon Town,3,42,42,3700,93,2.26,239,146,.611,5,15,22,4,9.5,,,,
Tottenham,2,42,42,3780,59,1.40,172,113,.657,11,12,19,9,21.4,,,,
West Ham,1,42,42,3780,58,1.38,193,135,.699,13,13,16,8,19.0,,,,
Wimbledon,2,42,42,3780,53,1.26,169,116,.686,18,11,13,12,28.6,,,,
