,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,33,0.87,134,101,.754,23,9,6,19,50.0,,,,
Aston Villa,2,38,38,3420,48,1.26,163,115,.706,17,6,15,9,23.7,,,,
Barnsley,2,38,38,3484,82,2.12,284,202,.711,10,5,23,5,13.2,,,,
Blackburn,3,38,38,3600,52,1.30,191,139,.728,16,10,12,14,36.8,,,,
Bolton,2,38,38,3472,61,1.58,217,156,.719,9,13,16,10,26.3,,,,
Chelsea,2,38,38,3420,43,1.13,168,125,.744,20,3,15,14,36.8,,,,
Coventry City,2,38,38,3510,44,1.13,192,148,.771,12,16,10,13,34.2,,,,
Crystal Palace,1,38,38,3420,71,1.87,250,179,.716,8,9,21,6,15.8,,,,
Derby County,2,38,38,3420,49,1.29,138,89,.645,16,7,15,13,34.2,,,,
Everton,3,38,38,3420,56,1.47,197,141,.716,9,13,16,10,26.3,,,,
Leeds United,2,38,38,3420,57,1.50,176,119,.676,17,8,13,11,28.9,,,,
Leicester City,2,38,38,3420,41,1.08,194,153,.789,13,14,11,15,39.5,,,,
Liverpool,2,38,38,3420,42,1.11,158,116,.734,18,11,9,13,34.2,,,,
Manchester Utd,3,38,38,3510,26,0.67,138,112,.812,23,8,7,20,52.6,,,,
Newcastle Utd,3,38,38,3510,44,1.13,154,110,.714,11,11,16,9,23.7,,,,
Sheffield Weds,2,38,38,3484,67,1.73,205,138,.673,12,8,18,8,21.1,,,,
Southampton,1,38,38,3420,55,1.45,194,139,.716,14,6,18,8,21.1,,,,
Tottenham,2,38,38,3420,56,1.47,194,138,.711,11,11,16,10,26.3,,,,
West Ham,3,38,38,3420,57,1.50,199,142,.714,16,8,14,8,21.1,,,,
Wimbledon,1,38,38,3420,46,1.21,182,136,.747,10,14,14,13,34.2,,,,
