,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,12,12,1080,15,1.25,45,32,.667,4,1,7,3,25.0,0,0,0,0
Aston Villa,1,10,10,900,13,1.30,42,28,.690,6,0,4,5,50.0,1,0,1,0
Brighton,2,12,12,1080,21,1.75,32,17,.500,2,4,6,2,16.7,5,5,0,0
Burnley,2,11,11,990,18,1.64,56,40,.696,2,3,6,4,36.4,1,1,0,0
Chelsea,3,12,12,1080,12,1.00,32,21,.656,6,4,2,5,41.7,1,1,0,0
Crystal Palace,1,12,12,1080,17,1.42,53,37,.736,5,2,5,1,8.3,3,3,0,0
Everton,2,12,12,1080,18,1.50,53,35,.679,6,2,4,2,16.7,2,1,0,1
Fulham,2,12,12,1080,22,1.83,65,47,.723,2,2,8,1,8.3,4,4,0,0
Leeds United,1,12,12,1080,22,1.83,60,42,.700,4,2,6,4,33.3,4,4,0,0
Leicester City,1,12,12,1080,15,1.25,53,39,.736,8,0,4,4,33.3,1,1,0,0
Liverpool,3,12,12,1080,18,1.50,44,28,.636,7,4,1,3,25.0,5,2,1,2
Manchester City,1,11,11,990,11,1.00,25,17,.720,5,4,2,5,45.5,4,4,0,0
Manchester Utd,2,11,11,990,17,1.55,36,24,.639,6,2,3,3,27.3,4,4,0,0
Newcastle Utd,1,11,11,990,16,1.45,57,42,.737,5,2,4,2,18.2,2,1,1,0
Sheffield Utd,1,12,12,1080,21,1.75,67,45,.687,0,1,11,0,0.0,1,0,0,1
Southampton,1,12,12,1080,17,1.42,50,34,.700,7,2,3,5,41.7,2,2,0,0
Tottenham,1,12,12,1080,10,0.83,37,31,.811,7,4,1,5,41.7,3,3,0,0
West Brom,1,12,12,1080,25,2.08,70,50,.686,1,3,8,2,16.7,4,3,1,0
West Ham,1,12,12,1080,15,1.25,48,35,.729,6,2,4,4,33.3,5,2,2,1
Wolves,1,12,12,1080,16,1.33,36,25,.639,5,2,5,4,33.3,4,3,1,0
