,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,42,42,3780,49,1.17,190,141,.742,13,12,17,13,31.0,,,,
Aston Villa,2,42,42,3780,56,1.33,197,141,.716,11,15,16,11,26.2,,,,
Blackburn,2,42,42,3790,39,0.93,165,126,.764,27,8,7,16,38.1,,,,
Chelsea,2,42,42,3780,55,1.31,214,159,.743,13,15,14,13,31.0,,,,
Coventry City,3,42,42,3780,62,1.48,213,151,.709,12,14,16,13,31.0,,,,
Crystal Palace,2,42,42,3780,49,1.17,196,147,.750,11,12,19,14,33.3,,,,
Everton,2,42,42,3780,51,1.21,232,181,.780,11,17,14,14,33.3,,,,
Ipswich Town,3,42,42,3780,93,2.21,285,192,.674,7,6,29,3,7.1,,,,
Leeds United,1,42,42,3780,38,0.90,198,160,.808,20,13,9,17,40.5,,,,
Leicester City,2,42,42,3780,80,1.90,245,165,.673,6,11,25,4,9.5,,,,
Liverpool,1,42,42,3780,37,0.88,170,133,.782,21,11,10,16,38.1,,,,
Manchester City,3,42,42,3780,64,1.52,224,160,.714,12,13,17,10,23.8,,,,
Manchester Utd,2,42,42,3780,28,0.67,160,132,.825,26,10,6,24,57.1,,,,
Newcastle Utd,2,42,42,3730,47,1.13,185,138,.746,20,12,10,14,33.3,,,,
Norwich City,3,42,42,3780,53,1.26,194,141,.727,10,13,19,10,23.8,,,,
Nott'ham Forest,1,42,42,3780,43,1.02,169,126,.746,22,11,9,13,31.0,,,,
QPR,2,42,42,3780,59,1.40,194,135,.696,17,9,16,10,23.8,,,,
Sheffield Weds,2,42,42,3750,57,1.37,195,138,.708,13,12,17,12,28.6,,,,
Southampton,2,42,42,3870,63,1.47,222,159,.716,12,18,12,9,21.4,,,,
Tottenham,2,42,42,3780,58,1.38,181,123,.680,16,14,12,11,26.2,,,,
West Ham,1,42,42,3780,48,1.14,192,144,.750,13,11,18,13,31.0,,,,
Wimbledon,2,42,42,3780,65,1.55,211,146,.692,15,11,16,12,28.6,,,,
