,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,28,26.4,,42,462,,40,34,0,0,34,1,0.95,0.81,1.76,0.95,1.76
Aston Villa,23,26.9,,42,462,,56,41,2,3,23,0,1.33,0.98,2.31,1.29,2.26
Blackburn,23,25.9,,42,480,,66,52,3,4,37,3,1.57,1.24,2.81,1.50,2.74
Chelsea,29,26.4,,42,452,,50,40,1,1,41,2,1.19,0.95,2.14,1.17,2.12
Coventry City,28,26.4,,42,453,,48,27,2,3,31,1,1.14,0.64,1.79,1.10,1.74
Crystal Palace,23,25.1,,42,457,,45,30,0,1,27,3,1.07,0.71,1.79,1.07,1.79
Everton,25,27.4,,42,462,,51,33,4,4,26,3,1.21,0.79,2.00,1.12,1.90
Ipswich Town,22,27.5,,42,462,,50,29,4,5,31,1,1.19,0.69,1.88,1.10,1.79
Leeds United,28,27.0,,42,461,,55,35,5,5,40,0,1.31,0.83,2.14,1.19,2.02
Liverpool,25,25.7,,42,462,,61,45,8,9,26,3,1.45,1.07,2.52,1.26,2.33
Manchester City,23,26.3,,42,461,,53,42,3,4,43,1,1.26,1.00,2.26,1.19,2.19
Manchester Utd,20,26.6,,42,461,,66,35,2,2,28,0,1.57,0.83,2.40,1.52,2.36
Middlesbrough,26,26.5,,42,468,,49,39,1,2,42,2,1.17,0.93,2.10,1.14,2.07
Norwich City,19,26.4,,42,455,,58,43,3,4,19,0,1.38,1.02,2.40,1.31,2.33
Nott'ham Forest,23,25.1,,42,458,,41,30,4,5,22,1,0.98,0.71,1.69,0.88,1.60
Oldham Athletic,20,25.5,,42,466,,61,42,1,2,35,0,1.45,1.00,2.45,1.43,2.43
QPR,19,26.7,,42,455,,61,45,3,4,30,0,1.45,1.07,2.52,1.38,2.45
Sheffield Utd,21,25.9,,42,440,,50,36,1,2,53,4,1.19,0.86,2.05,1.17,2.02
Sheffield Weds,24,27.9,,42,463,,54,40,3,3,31,1,1.29,0.95,2.24,1.21,2.17
Southampton,18,25.4,,42,455,,54,38,2,2,51,3,1.29,0.90,2.19,1.24,2.14
Tottenham,24,25.0,,42,454,,58,33,0,0,36,1,1.38,0.79,2.17,1.38,2.17
Wimbledon,22,26.0,,42,452,,54,40,2,3,48,3,1.29,0.95,2.24,1.24,2.19
