,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,32,0.84,156,124,.795,19,11,8,16,42.1,,,,
Aston Villa,2,38,38,3420,34,0.89,163,129,.791,17,10,11,15,39.5,,,,
Blackburn,2,38,38,3420,43,1.13,183,140,.765,9,15,14,11,28.9,,,,
Chelsea,4,38,38,3510,56,1.44,202,146,.723,16,11,11,9,23.7,,,,
Coventry City,1,38,38,3420,54,1.42,216,162,.750,9,14,15,9,23.7,,,,
Derby County,3,38,38,3442,55,1.44,199,144,.724,11,13,14,7,18.4,,,,
Everton,2,38,38,3485,57,1.47,198,141,.712,10,12,16,10,26.3,,,,
Leeds United,2,38,38,3420,38,1.00,181,143,.790,11,13,14,20,52.6,,,,
Leicester City,2,38,38,3420,54,1.42,203,149,.734,12,11,15,9,23.7,,,,
Liverpool,1,38,38,3420,37,0.97,198,161,.813,19,11,8,12,31.6,,,,
Manchester Utd,2,38,38,3420,44,1.16,175,131,.749,21,12,5,15,39.5,,,,
Middlesbrough,4,38,38,3460,60,1.56,225,165,.733,10,12,16,6,15.8,,,,
Newcastle Utd,2,38,38,3420,40,1.05,188,148,.787,19,11,8,12,31.6,,,,
Nott'ham Forest,3,38,38,3420,59,1.55,203,144,.709,6,16,16,8,21.1,,,,
Sheffield Weds,1,38,38,3420,51,1.34,216,165,.764,14,15,9,10,26.3,,,,
Southampton,4,38,38,3584,57,1.43,218,161,.739,10,11,17,10,26.3,,,,
Sunderland,2,38,38,3488,53,1.37,212,159,.750,10,10,18,11,28.9,,,,
Tottenham,2,38,38,3510,51,1.31,214,163,.762,13,7,18,13,34.2,,,,
West Ham,3,38,38,3465,48,1.25,211,163,.773,10,12,16,10,26.3,,,,
Wimbledon,2,38,38,3480,46,1.19,212,166,.783,15,11,12,11,28.9,,,,
