,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,26.2,,38,418,,66,46,4,7,55,2,1.74,1.21,2.95,1.63,2.84
Aston Villa,25,25.1,,38,416,,41,35,1,4,63,2,1.08,0.92,2.00,1.05,1.97
Birmingham City,27,28.0,,38,417,,26,19,2,2,53,7,0.68,0.50,1.18,0.63,1.13
Blackburn,23,27.9,,38,418,,49,29,4,4,78,6,1.29,0.76,2.05,1.18,1.95
Bolton,24,28.0,,38,419,,47,33,2,4,64,3,1.24,0.87,2.11,1.18,2.05
Charlton Ath,27,27.9,,38,422,,41,29,4,4,44,2,1.08,0.76,1.84,0.97,1.74
Chelsea,24,25.9,,38,418,,71,50,4,4,64,5,1.87,1.32,3.18,1.76,3.08
Everton,23,28.0,,38,422,,32,25,1,3,66,7,0.84,0.66,1.50,0.82,1.47
Fulham,26,28.0,,38,417,,47,35,4,4,65,2,1.24,0.92,2.16,1.13,2.05
Liverpool,22,26.4,,38,415,,54,42,4,5,50,5,1.42,1.11,2.53,1.32,2.42
Manchester City,25,27.3,,38,418,,42,31,1,2,70,4,1.11,0.82,1.92,1.08,1.89
Manchester Utd,23,26.4,,38,417,,68,50,2,3,61,2,1.79,1.32,3.11,1.74,3.05
Middlesbrough,30,26.6,,38,413,,48,34,5,5,54,3,1.26,0.89,2.16,1.13,2.03
Newcastle Utd,22,26.8,,38,414,,45,31,5,5,64,6,1.18,0.82,2.00,1.05,1.87
Portsmouth,28,26.7,,38,419,,36,22,2,2,55,1,0.95,0.58,1.53,0.89,1.47
Sunderland,27,24.8,,38,410,,24,15,2,2,69,4,0.63,0.39,1.03,0.58,0.97
Tottenham,23,24.9,,38,414,,52,38,4,6,51,5,1.37,1.00,2.37,1.26,2.26
West Brom,26,26.4,,38,418,,31,18,1,2,47,2,0.82,0.47,1.29,0.79,1.26
West Ham,26,26.0,,38,415,,48,29,3,5,50,2,1.26,0.76,2.03,1.18,1.95
Wigan Athletic,25,28.3,,38,420,,44,30,1,1,54,4,1.16,0.79,1.95,1.13,1.92
