,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,30,26.8,61.5,38,418,3420,73,61,4,5,,,1.92,1.61,3.53,1.82,3.42,63.1,59.3,45.8,1.66,1.21,2.87,1.56,2.77
Bournemouth,22,26.9,47.8,38,418,3420,45,36,3,3,,,1.18,0.95,2.13,1.11,2.05,42.7,40.5,29.7,1.12,0.78,1.91,1.07,1.85
Brighton,24,27.5,43.7,38,418,3420,33,25,5,7,,,0.87,0.66,1.53,0.74,1.39,36.3,31.0,22.6,0.96,0.60,1.55,0.82,1.41
Burnley,24,27.5,43.9,38,418,3420,35,26,0,0,,,0.92,0.68,1.61,0.92,1.61,34.4,34.4,23.2,0.91,0.61,1.52,0.91,1.52
Chelsea,26,26.7,55.4,38,418,3420,60,42,3,3,,,1.58,1.11,2.68,1.50,2.61,55.7,53.5,40.0,1.47,1.05,2.52,1.41,2.46
Crystal Palace,28,27.1,45.3,38,418,3420,44,26,8,10,,,1.16,0.68,1.84,0.95,1.63,53.0,45.7,30.3,1.40,0.80,2.19,1.20,2.00
Everton,30,26.7,45.9,38,418,3420,42,26,5,8,,,1.11,0.68,1.79,0.97,1.66,39.6,33.3,22.8,1.04,0.60,1.64,0.88,1.48
Huddersfield,25,26.4,45.7,38,418,3420,25,19,2,2,,,0.66,0.50,1.16,0.61,1.11,32.6,31.1,22.6,0.86,0.60,1.45,0.82,1.41
Leicester City,27,27.2,47.9,38,418,3420,53,38,5,6,,,1.39,1.00,2.39,1.26,2.26,45.7,41.2,29.8,1.20,0.78,1.99,1.08,1.87
Liverpool,27,25.6,60.5,38,418,3420,82,58,2,3,,,2.16,1.53,3.68,2.11,3.63,70.4,68.1,49.4,1.85,1.30,3.15,1.79,3.09
Manchester City,25,26.4,71.1,38,418,3420,103,85,6,8,,,2.71,2.24,4.95,2.55,4.79,80.1,74.1,56.5,2.11,1.49,3.60,1.95,3.44
Manchester Utd,27,26.7,54.8,38,418,3420,67,53,1,3,,,1.76,1.39,3.16,1.74,3.13,57.0,54.5,42.0,1.50,1.11,2.61,1.44,2.54
Newcastle Utd,27,25.6,41.7,38,418,3420,38,29,0,1,,,1.00,0.76,1.76,1.00,1.76,42.4,41.6,27.4,1.11,0.72,1.84,1.09,1.82
Southampton,26,26.2,51.5,38,418,3420,36,23,3,3,,,0.95,0.61,1.55,0.87,1.47,40.1,37.9,29.4,1.06,0.77,1.83,1.00,1.77
Stoke City,30,27.5,41.3,38,418,3420,34,28,0,3,,,0.89,0.74,1.63,0.89,1.63,37.1,34.8,26.4,0.98,0.69,1.67,0.92,1.61
Swansea City,26,27.2,45.2,38,418,3420,27,20,1,1,,,0.71,0.53,1.24,0.68,1.21,30.3,29.5,18.1,0.80,0.48,1.27,0.78,1.26
Tottenham,25,25.8,61.9,38,418,3420,70,51,2,3,,,1.84,1.34,3.18,1.79,3.13,67.0,64.7,47.5,1.76,1.25,3.01,1.70,2.95
Watford,29,27.9,49.6,38,418,3420,42,27,3,6,,,1.11,0.71,1.82,1.03,1.74,44.8,40.1,27.7,1.18,0.73,1.91,1.06,1.78
West Brom,24,29.1,40.6,38,418,3420,31,24,1,1,,,0.82,0.63,1.45,0.79,1.42,34.4,33.7,22.8,0.91,0.60,1.51,0.89,1.49
West Ham,27,28.0,45.0,38,418,3420,48,29,2,4,,,1.26,0.76,2.03,1.21,1.97,37.3,34.3,24.1,0.98,0.63,1.61,0.90,1.53
