,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,31,0.82,155,124,.800,24,11,3,15,39.5,,,,
Aston Villa,2,38,38,3420,51,1.34,170,119,.700,16,12,10,9,23.7,,,,
Birmingham City,3,38,38,3420,62,1.63,266,204,.767,8,11,19,3,7.9,,,,
Blackburn,1,38,38,3420,48,1.26,201,153,.761,15,13,10,8,21.1,,,,
Bolton,2,38,38,3420,54,1.42,207,153,.739,9,10,19,12,31.6,,,,
Chelsea,3,38,38,3420,26,0.68,142,116,.817,25,10,3,21,55.3,,,,
Derby County,3,38,38,3420,89,2.34,263,174,.662,1,8,29,3,7.9,,,,
Everton,2,38,38,3420,33,0.87,176,143,.813,19,8,11,14,36.8,,,,
Fulham,3,38,38,3420,60,1.58,230,170,.739,8,12,18,7,18.4,,,,
Liverpool,1,38,38,3420,28,0.74,138,110,.797,21,13,4,18,47.4,,,,
Manchester City,3,38,38,3420,53,1.39,221,168,.760,15,10,13,11,28.9,,,,
Manchester Utd,3,38,38,3420,22,0.58,150,128,.853,27,6,5,21,55.3,,,,
Middlesbrough,3,38,38,3420,53,1.39,184,131,.712,10,12,16,8,21.1,,,,
Newcastle Utd,2,38,38,3420,65,1.71,256,191,.746,11,10,17,8,21.1,,,,
Portsmouth,2,38,38,3420,40,1.05,205,165,.805,16,9,13,16,42.1,,,,
Reading,1,38,38,3420,66,1.74,254,188,.740,10,6,22,8,21.1,,,,
Sunderland,3,38,38,3420,59,1.55,182,123,.676,11,6,21,7,18.4,,,,
Tottenham,2,38,38,3420,61,1.61,206,145,.704,11,13,14,9,23.7,,,,
West Ham,1,38,38,3420,50,1.32,189,139,.735,13,10,15,8,21.1,,,,
Wigan Athletic,2,38,38,3420,51,1.34,197,146,.741,10,10,18,12,31.6,,,,
