,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,22,27.3,,38,419,,69,52,7,7,51,3,1.82,1.37,3.18,1.63,3.00
Aston Villa,24,25.7,,38,418,,48,34,4,5,52,3,1.26,0.89,2.16,1.16,2.05
Birmingham City,27,27.3,,38,428,,43,29,4,5,45,5,1.13,0.76,1.89,1.03,1.79
Blackburn,27,28.3,,38,412,,52,39,0,0,58,3,1.37,1.03,2.39,1.37,2.39
Bolton,24,28.5,,38,433,,47,35,1,1,63,0,1.24,0.92,2.16,1.21,2.13
Charlton Ath,23,28.5,,38,406,,50,29,6,8,35,3,1.32,0.76,2.08,1.16,1.92
Chelsea,27,25.8,,38,438,,67,58,4,4,44,3,1.76,1.53,3.29,1.66,3.18
Everton,26,27.3,,38,414,,42,31,1,1,53,3,1.11,0.82,1.92,1.08,1.89
Fulham,30,27.1,,38,421,,52,32,2,3,59,3,1.37,0.84,2.21,1.32,2.16
Leeds United,29,25.2,,38,404,,40,28,4,4,70,5,1.05,0.74,1.79,0.95,1.68
Leicester City,28,29.4,,38,391,,45,37,2,3,58,8,1.18,0.97,2.16,1.13,2.11
Liverpool,24,26.0,,38,408,,53,36,8,10,46,1,1.39,0.95,2.34,1.18,2.13
Manchester City,24,27.9,,38,418,,52,37,4,4,46,3,1.37,0.97,2.34,1.26,2.24
Manchester Utd,22,25.8,,38,418,,63,54,1,4,42,3,1.66,1.42,3.08,1.63,3.05
Middlesbrough,27,27.6,,38,418,,42,28,3,5,52,1,1.11,0.74,1.84,1.03,1.76
Newcastle Utd,23,25.7,,38,429,,53,33,7,10,47,3,1.39,0.87,2.26,1.21,2.08
Portsmouth,31,28.4,,38,433,,49,31,3,3,60,3,1.29,0.82,2.11,1.21,2.03
Southampton,27,27.9,,38,403,,43,27,2,2,51,3,1.13,0.71,1.84,1.08,1.79
Tottenham,27,26.3,,38,407,,47,33,3,3,45,0,1.24,0.87,2.11,1.16,2.03
Wolves,27,29.8,,38,428,,39,25,1,4,65,2,1.03,0.66,1.68,1.00,1.66
