,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,36,0.95,148,112,.757,20,11,7,18,47.4,,,,
Aston Villa,2,38,38,3420,76,2.00,186,110,.591,3,8,27,6,15.8,,,,
Bournemouth,3,38,38,3420,67,1.76,152,85,.559,11,9,18,7,18.4,,,,
Chelsea,2,38,38,3419,53,1.40,172,119,.692,12,14,12,9,23.7,,,,
Crystal Palace,3,38,38,3420,51,1.34,168,117,.696,11,9,18,8,21.1,,,,
Everton,2,38,38,3420,55,1.45,179,124,.693,11,14,13,10,26.3,,,,
Leicester City,1,38,38,3420,36,0.95,136,100,.735,23,12,3,15,39.5,,,,
Liverpool,3,38,38,3420,50,1.32,130,80,.615,16,12,10,11,28.9,,,,
Manchester City,2,38,38,3420,41,1.08,125,84,.672,19,9,10,16,42.1,,,,
Manchester Utd,2,38,38,3420,35,0.92,120,85,.708,19,9,10,18,47.4,,,,
Newcastle Utd,3,38,38,3420,65,1.71,178,113,.635,9,10,19,8,21.1,,,,
Norwich City,2,38,38,3420,67,1.76,165,98,.594,9,7,22,5,13.2,,,,
Southampton,4,38,38,3420,41,1.08,133,92,.692,18,9,11,12,31.6,,,,
Stoke City,3,38,38,3420,55,1.45,175,120,.686,14,9,15,10,26.3,,,,
Sunderland,3,38,38,3420,62,1.63,213,151,.709,9,12,17,7,18.4,,,,
Swansea City,2,38,38,3420,52,1.37,165,113,.685,12,11,15,9,23.7,,,,
Tottenham,2,38,38,3420,35,0.92,121,86,.711,19,13,6,13,34.2,,,,
Watford,2,38,38,3420,50,1.32,123,73,.593,12,9,17,11,28.9,,,,
West Brom,2,38,38,3420,48,1.26,155,107,.690,10,13,15,11,28.9,,,,
West Ham,2,38,38,3420,51,1.34,162,111,.685,16,14,8,11,28.9,,,,
