,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,20,29.6,,38,402,,59,36,8,8,74,4,1.55,0.95,2.50,1.34,2.29
Aston Villa,18,25.5,,38,418,,46,32,4,5,51,0,1.21,0.84,2.05,1.11,1.95
Blackburn,22,27.0,,38,422,,42,36,2,3,72,1,1.11,0.95,2.05,1.05,2.00
Chelsea,24,28.1,,38,414,,56,47,4,5,81,1,1.47,1.24,2.71,1.37,2.61
Coventry City,19,28.1,,38,411,,36,29,3,3,64,4,0.95,0.76,1.71,0.87,1.63
Derby County,23,26.1,,38,414,,42,34,3,4,60,1,1.11,0.89,2.00,1.03,1.92
Everton,22,27.1,,38,430,,45,36,4,6,56,2,1.18,0.95,2.13,1.08,2.03
Leeds United,23,26.9,,38,403,,27,22,0,1,89,1,0.71,0.58,1.29,0.71,1.29
Leicester City,22,26.4,,38,424,,44,29,3,6,68,1,1.16,0.76,1.92,1.08,1.84
Liverpool,17,26.3,,38,412,,58,48,2,3,51,1,1.53,1.26,2.79,1.47,2.74
Manchester Utd,19,25.9,,38,413,,70,47,4,6,71,1,1.84,1.24,3.08,1.74,2.97
Middlesbrough,23,26.3,,38,403,,50,29,5,8,90,3,1.32,0.76,2.08,1.18,1.95
Newcastle Utd,17,27.2,,38,400,,72,48,5,7,74,1,1.89,1.26,3.16,1.76,3.03
Nott'ham Forest,25,27.9,,38,415,,31,22,2,3,67,1,0.82,0.58,1.39,0.76,1.34
Sheffield Weds,20,26.6,,38,418,,50,29,2,4,52,2,1.32,0.76,2.08,1.26,2.03
Southampton,27,26.0,,38,416,,47,37,6,7,79,6,1.24,0.97,2.21,1.08,2.05
Sunderland,20,28.6,,38,369,,32,22,4,6,50,5,0.84,0.58,1.42,0.74,1.32
Tottenham,22,26.7,,38,415,,43,32,2,3,70,1,1.13,0.84,1.97,1.08,1.92
West Ham,26,27.8,,38,412,,40,35,5,6,70,2,1.05,0.92,1.97,0.92,1.84
Wimbledon,22,26.7,,38,418,,48,36,0,1,51,1,1.26,0.95,2.21,1.26,2.21
