,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,37,0.97,149,112,.752,20,12,6,16,42.1,,,,
Aston Villa,2,38,38,3420,48,1.26,186,138,.742,17,11,10,13,34.2,,,,
Blackburn,2,38,38,3420,60,1.58,177,117,.661,10,11,17,10,26.3,,,,
Bolton,1,38,38,3420,53,1.39,213,160,.751,11,8,19,7,18.4,,,,
Chelsea,3,38,38,3420,24,0.63,144,120,.833,25,8,5,22,57.9,,,,
Everton,1,38,38,3420,37,0.97,186,149,.801,17,12,9,17,44.7,,,,
Fulham,1,38,38,3420,34,0.89,195,161,.826,14,11,13,15,39.5,,,,
Hull City,2,38,38,3420,64,1.68,212,148,.698,8,11,19,6,15.8,,,,
Liverpool,1,38,38,3420,27,0.71,122,95,.779,25,11,2,20,52.6,,,,
Manchester City,3,38,38,3420,50,1.32,192,142,.740,15,5,18,10,26.3,,,,
Manchester Utd,3,38,38,3420,24,0.63,138,114,.826,28,6,4,24,63.2,,,,
Middlesbrough,2,38,38,3420,57,1.50,216,159,.736,7,11,20,7,18.4,,,,
Newcastle Utd,2,38,38,3420,59,1.55,210,151,.719,7,13,18,7,18.4,,,,
Portsmouth,2,38,38,3420,57,1.50,212,155,.731,10,11,17,8,21.1,,,,
Stoke City,2,38,38,3420,55,1.45,191,136,.712,12,9,17,12,31.6,,,,
Sunderland,2,38,38,3420,54,1.42,168,114,.679,9,9,20,9,23.7,,,,
Tottenham,2,38,38,3420,45,1.18,203,158,.778,14,9,15,13,34.2,,,,
West Brom,2,38,38,3420,67,1.76,227,160,.705,8,8,22,8,21.1,,,,
West Ham,1,38,38,3420,45,1.18,197,152,.772,14,9,15,10,26.3,,,,
Wigan Athletic,3,38,38,3420,45,1.18,134,89,.664,12,9,17,13,34.2,,,,
