,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,51,1.34,143,97,.678,19,6,13,13,34.2,6,5,1,0
Bournemouth,1,38,38,3420,61,1.61,173,114,.659,11,11,16,6,15.8,4,2,1,1
Brighton,1,38,38,3420,54,1.42,170,120,.688,9,13,16,10,26.3,3,1,2,0
Burnley,2,38,38,3420,39,1.03,162,126,.778,14,12,12,12,31.6,5,3,1,1
Chelsea,2,38,38,3420,38,1.00,114,80,.684,21,7,10,16,42.1,2,2,0,0
Crystal Palace,2,38,38,3420,55,1.45,168,117,.685,11,11,16,9,23.7,2,2,0,0
Everton,1,38,38,3420,58,1.53,176,121,.688,13,10,15,10,26.3,5,3,1,1
Huddersfield,1,38,38,3420,57,1.50,154,101,.656,9,10,19,10,26.3,6,4,2,0
Leicester City,3,38,38,3420,60,1.58,161,105,.640,12,11,15,9,23.7,4,2,2,0
Liverpool,2,38,38,3420,38,1.00,99,65,.657,21,12,5,17,44.7,6,4,2,0
Manchester City,2,38,38,3420,27,0.71,84,58,.679,32,4,2,18,47.4,3,0,2,1
Manchester Utd,2,38,38,3420,28,0.74,144,119,.813,25,6,7,19,50.0,1,1,0,0
Newcastle Utd,3,38,38,3420,47,1.24,142,101,.697,12,8,18,9,23.7,6,4,2,0
Southampton,2,38,38,3420,56,1.47,160,105,.656,7,15,16,8,21.1,2,1,1,0
Stoke City,2,38,38,3420,68,1.79,212,151,.703,7,12,19,6,15.8,5,5,0,0
Swansea City,1,38,38,3420,56,1.47,191,140,.723,8,9,21,9,23.7,7,3,3,1
Tottenham,3,38,38,3420,36,0.95,127,93,.732,23,8,7,16,42.1,3,2,1,0
Watford,2,38,38,3420,64,1.68,150,93,.613,11,8,19,9,23.7,6,6,0,0
West Brom,2,38,38,3420,56,1.47,155,101,.645,6,13,19,10,26.3,1,1,0,0
West Ham,2,38,38,3420,68,1.79,183,121,.656,10,12,16,10,26.3,6,5,1,0
