,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,42,1.11,147,105,.714,23,9,6,10,26.3,,,,
Aston Villa,2,38,38,3420,47,1.24,176,129,.733,12,9,17,9,23.7,,,,
Birmingham City,4,38,38,3420,49,1.29,171,122,.713,13,9,16,9,23.7,,,,
Blackburn,2,38,38,3420,43,1.13,207,164,.792,16,12,10,15,39.5,,,,
Bolton,1,38,38,3420,51,1.34,189,138,.730,10,14,14,10,26.3,,,,
Charlton Ath,2,38,38,3420,56,1.47,190,134,.705,14,7,17,8,21.1,,,,
Chelsea,2,38,38,3420,38,1.00,156,118,.756,19,10,9,13,34.2,,,,
Everton,4,38,38,3420,49,1.29,173,124,.717,17,8,13,11,28.9,,,,
Fulham,3,38,38,3420,50,1.32,197,147,.746,13,9,16,11,28.9,,,,
Leeds United,1,38,38,3420,57,1.50,188,131,.697,14,5,19,10,26.3,,,,
Liverpool,2,38,38,3420,41,1.08,146,105,.719,18,10,10,14,36.8,,,,
Manchester City,2,38,38,3420,54,1.42,184,130,.707,15,6,17,10,26.3,,,,
Manchester Utd,3,38,38,3420,34,0.89,122,88,.721,25,8,5,13,34.2,,,,
Middlesbrough,1,38,38,3420,44,1.16,184,140,.761,13,10,15,10,26.3,,,,
Newcastle Utd,1,38,38,3420,48,1.26,179,131,.732,21,6,11,14,36.8,,,,
Southampton,2,38,38,3420,46,1.21,197,151,.766,13,13,12,13,34.2,,,,
Sunderland,4,38,38,3420,65,1.71,210,145,.690,4,7,27,6,15.8,,,,
Tottenham,1,38,38,3420,62,1.63,210,148,.705,14,8,16,5,13.2,,,,
West Brom,2,38,38,3420,65,1.71,208,143,.688,6,8,24,6,15.8,,,,
West Ham,1,38,38,3420,59,1.55,198,139,.702,10,12,16,9,23.7,,,,
