,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,27.3,,38,431,,79,54,6,7,77,6,2.08,1.42,3.50,1.92,3.34
Aston Villa,21,27.4,,38,410,,44,38,2,2,41,2,1.16,1.00,2.16,1.11,2.11
Blackburn,24,27.3,,38,416,,54,39,1,1,57,4,1.42,1.03,2.45,1.39,2.42
Bolton,28,28.5,,38,407,,42,25,0,1,57,6,1.11,0.66,1.76,1.11,1.76
Charlton Ath,25,26.6,,38,418,,36,25,0,1,63,3,0.95,0.66,1.61,0.95,1.61
Chelsea,24,26.6,,38,411,,65,43,3,3,63,2,1.71,1.13,2.84,1.63,2.76
Derby County,30,26.3,,38,409,,33,23,2,5,71,2,0.87,0.61,1.47,0.82,1.42
Everton,27,28.0,,38,401,,44,31,3,3,58,4,1.16,0.82,1.97,1.08,1.89
Fulham,23,27.7,,38,415,,35,28,1,3,53,1,0.92,0.74,1.66,0.89,1.63
Ipswich Town,25,27.2,,38,410,,41,32,1,3,42,1,1.08,0.84,1.92,1.05,1.89
Leeds United,21,25.9,,38,433,,54,46,1,2,70,5,1.42,1.21,2.63,1.39,2.61
Leicester City,28,27.4,,38,415,,29,21,2,4,74,3,0.76,0.55,1.32,0.71,1.26
Liverpool,24,25.6,,38,418,,63,51,1,3,45,2,1.66,1.34,3.00,1.63,2.97
Manchester Utd,26,27.4,,38,402,,81,56,5,5,53,1,2.13,1.47,3.61,2.00,3.47
Middlesbrough,29,28.2,,38,409,,33,21,2,3,54,7,0.87,0.55,1.42,0.82,1.37
Newcastle Utd,19,25.7,,38,390,,72,53,5,7,48,2,1.89,1.39,3.29,1.76,3.16
Southampton,27,27.6,,38,390,,42,30,4,4,33,3,1.11,0.79,1.89,1.00,1.79
Sunderland,25,26.6,,38,415,,29,19,1,3,66,1,0.76,0.50,1.26,0.74,1.24
Tottenham,24,28.9,,38,411,,48,33,3,3,59,4,1.26,0.87,2.13,1.18,2.05
West Ham,27,27.4,,38,419,,48,34,4,5,67,3,1.26,0.89,2.16,1.16,2.05
