,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,51,1.34,175,132,.749,21,7,10,8,21.1,7,7,0,0
Bournemouth,3,38,38,3420,70,1.84,166,103,.608,13,6,19,10,26.3,5,5,0,0
Brighton,2,38,38,3420,60,1.58,155,105,.677,9,9,20,7,18.4,10,10,0,0
Burnley,2,38,38,3420,68,1.79,199,137,.668,11,7,20,8,21.1,3,2,1,0
Cardiff City,1,38,38,3420,69,1.82,201,135,.677,10,4,24,10,26.3,7,4,3,0
Chelsea,2,38,38,3420,39,1.03,120,81,.683,21,9,8,16,42.1,2,1,1,0
Crystal Palace,3,38,38,3420,53,1.39,156,107,.686,14,7,17,12,31.6,5,4,1,0
Everton,1,38,38,3420,46,1.21,128,86,.656,15,9,14,14,36.8,5,2,3,0
Fulham,3,38,38,3420,81,2.13,222,147,.658,7,5,26,5,13.2,7,5,1,1
Huddersfield,3,38,38,3420,76,2.00,177,108,.610,3,7,28,5,13.2,8,7,1,0
Leicester City,1,38,38,3420,48,1.26,139,96,.691,15,7,16,10,26.3,5,5,0,0
Liverpool,1,38,38,3420,22,0.58,96,74,.771,30,7,1,21,55.3,1,0,0,1
Manchester City,1,38,38,3420,23,0.61,76,57,.750,32,2,4,20,52.6,4,4,0,0
Manchester Utd,1,38,38,3420,54,1.42,169,124,.716,19,9,10,7,18.4,6,6,0,0
Newcastle Utd,1,38,38,3420,48,1.26,135,94,.689,12,9,17,11,28.9,6,6,0,0
Southampton,3,38,38,3420,65,1.71,170,110,.629,9,12,17,7,18.4,3,2,1,0
Tottenham,3,38,38,3420,39,1.03,148,114,.757,23,2,13,13,34.2,5,3,2,0
Watford,1,38,38,3420,59,1.55,173,118,.682,14,8,16,7,18.4,5,4,1,0
West Ham,1,38,38,3420,55,1.45,191,139,.733,15,7,16,7,18.4,5,4,1,0
Wolves,3,38,38,3420,46,1.21,141,101,.695,16,9,13,9,23.7,4,3,0,1
