,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,28,26.7,58.0,38,418,3420,69,52,4,5,73,2,1.82,1.37,3.18,1.71,3.08,57.1,53.1,44.0,1.50,1.16,2.66,1.40,2.56
Bournemouth,28,26.6,46.8,38,418,3420,55,43,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.3,46.4,36.5,1.40,0.96,2.36,1.22,2.18
Brighton,21,27.4,42.6,38,418,3420,35,24,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.4,29.9,23.3,0.91,0.61,1.52,0.79,1.40
Burnley,23,28.0,41.2,38,418,3420,43,32,2,2,75,1,1.13,0.84,1.97,1.08,1.92,41.9,40.4,27.3,1.10,0.72,1.82,1.06,1.78
Cardiff City,25,27.7,35.6,38,418,3420,33,20,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.8,36.7,23.1,1.05,0.61,1.65,0.97,1.57
Chelsea,24,27.3,62.8,38,418,3420,61,52,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.5,54.7,45.7,1.54,1.20,2.74,1.44,2.64
Crystal Palace,26,27.4,45.0,38,418,3420,48,33,10,11,58,2,1.26,0.87,2.13,1.00,1.87,50.1,42.2,31.5,1.32,0.83,2.15,1.11,1.94
Everton,23,25.7,51.5,38,418,3420,53,34,2,5,56,4,1.39,0.89,2.29,1.34,2.24,46.5,42.6,30.2,1.22,0.79,2.02,1.12,1.91
Fulham,28,26.0,48.6,38,418,3420,33,24,2,3,70,2,0.87,0.63,1.50,0.82,1.45,39.7,37.4,28.8,1.04,0.76,1.80,0.98,1.74
Huddersfield,31,26.2,47.0,38,418,3420,20,13,1,1,56,4,0.53,0.34,0.87,0.50,0.84,28.9,28.1,19.8,0.76,0.52,1.28,0.74,1.26
Leicester City,25,25.9,51.1,38,418,3420,48,34,5,7,60,5,1.26,0.89,2.16,1.13,2.03,49.4,44.3,34.1,1.30,0.90,2.20,1.17,2.06
Liverpool,23,26.1,61.7,38,418,3420,86,55,7,7,39,2,2.26,1.45,3.71,2.08,3.53,73.6,68.3,47.7,1.94,1.25,3.19,1.80,3.05
Manchester City,21,26.7,67.8,38,418,3420,91,71,3,4,44,1,2.39,1.87,4.26,2.32,4.18,82.0,79.0,61.5,2.16,1.62,3.78,2.08,3.70
Manchester Utd,28,26.3,54.5,38,418,3420,65,40,9,12,75,4,1.71,1.05,2.76,1.47,2.53,59.6,50.4,38.3,1.57,1.01,2.58,1.33,2.33
Newcastle Utd,24,26.9,40.4,38,418,3420,41,33,1,3,57,2,1.08,0.87,1.95,1.05,1.92,38.8,36.5,26.1,1.02,0.69,1.71,0.96,1.65
Southampton,30,25.4,43.9,38,418,3420,44,27,4,5,73,3,1.16,0.71,1.87,1.05,1.76,45.4,41.7,27.1,1.19,0.71,1.91,1.10,1.81
Tottenham,28,26.8,58.9,38,418,3420,66,47,4,4,57,3,1.74,1.24,2.97,1.63,2.87,55.6,52.6,36.8,1.46,0.97,2.43,1.38,2.35
Watford,25,28.5,47.1,38,418,3420,51,39,1,1,79,4,1.34,1.03,2.37,1.32,2.34,48.0,47.2,33.4,1.26,0.88,2.14,1.24,2.12
West Ham,26,27.6,48.7,38,418,3420,51,33,5,5,59,1,1.34,0.87,2.21,1.21,2.08,49.1,45.4,32.9,1.29,0.87,2.16,1.19,2.06
Wolves,21,26.1,46.9,38,418,3420,46,35,4,4,73,1,1.21,0.92,2.13,1.11,2.03,49.9,46.9,34.8,1.31,0.92,2.23,1.23,2.15
