,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,24,28.3,,38,417,,71,49,3,5,61,5,1.87,1.29,3.16,1.79,3.08
Aston Villa,24,26.5,,38,420,,48,41,3,5,58,1,1.26,1.08,2.34,1.18,2.26
Bradford City,25,29.8,,38,418,,37,21,5,5,49,1,0.97,0.55,1.53,0.84,1.39
Chelsea,27,28.9,,38,434,,48,45,1,1,54,4,1.26,1.18,2.45,1.24,2.42
Coventry City,27,27.2,,38,412,,46,32,5,5,49,1,1.21,0.84,2.05,1.08,1.92
Derby County,29,26.2,,38,418,,42,28,2,4,84,4,1.11,0.74,1.84,1.05,1.79
Everton,28,27.8,,38,437,,58,48,6,7,50,5,1.53,1.26,2.79,1.37,2.63
Leeds United,20,24.1,,38,417,,57,36,4,6,72,3,1.50,0.95,2.45,1.39,2.34
Leicester City,24,27.9,,38,417,,53,34,3,3,39,3,1.39,0.89,2.29,1.32,2.21
Liverpool,23,24.3,,38,418,,50,30,3,5,55,4,1.32,0.79,2.11,1.24,2.03
Manchester Utd,29,26.8,,38,417,,94,69,3,5,38,4,2.47,1.82,4.29,2.39,4.21
Middlesbrough,27,28.5,,38,418,,44,26,6,9,75,3,1.16,0.68,1.84,1.00,1.68
Newcastle Utd,32,26.8,,38,418,,60,43,6,6,43,1,1.58,1.13,2.71,1.42,2.55
Sheffield Weds,23,28.4,,38,399,,34,24,3,4,40,1,0.89,0.63,1.53,0.82,1.45
Southampton,28,27.0,,38,402,,42,32,1,1,62,5,1.11,0.84,1.95,1.08,1.92
Sunderland,25,26.3,,38,417,,57,39,6,8,66,3,1.50,1.03,2.53,1.34,2.37
Tottenham,27,26.7,,38,418,,55,40,1,1,75,1,1.45,1.05,2.50,1.42,2.47
Watford,31,26.3,,38,419,,35,28,2,2,60,2,0.92,0.74,1.66,0.87,1.61
West Ham,26,26.8,,38,419,,51,42,2,2,61,6,1.34,1.11,2.45,1.29,2.39
Wimbledon,26,26.7,,38,418,,44,33,1,1,43,4,1.16,0.87,2.03,1.13,2.00
