,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,4,38,38,3420,44,1.16,150,106,.707,19,11,8,13,34.2,,,,
Aston Villa,1,38,38,3420,59,1.55,189,130,.688,12,12,14,7,18.4,,,,
Birmingham City,2,38,38,3420,58,1.53,257,199,.774,8,15,15,9,23.7,,,,
Blackburn,2,38,38,3420,59,1.55,194,135,.696,11,10,17,8,21.1,,,,
Blackpool,4,38,38,3420,80,2.11,240,160,.667,10,9,19,6,15.8,,,,
Bolton,2,38,38,3420,56,1.47,193,137,.710,12,10,16,5,13.2,,,,
Chelsea,1,38,38,3420,33,0.87,148,115,.777,21,8,9,15,39.5,,,,
Everton,1,38,38,3420,45,1.18,153,108,.706,13,15,10,9,23.7,,,,
Fulham,2,38,38,3420,43,1.13,171,128,.749,11,16,11,14,36.8,,,,
Liverpool,1,38,38,3420,44,1.16,149,105,.705,17,7,14,14,36.8,,,,
Manchester City,1,38,38,3420,33,0.87,153,120,.784,21,8,9,18,47.4,,,,
Manchester Utd,2,38,38,3420,37,0.97,139,102,.734,23,11,4,15,39.5,,,,
Newcastle Utd,2,38,38,3420,57,1.50,161,104,.646,11,13,14,9,23.7,,,,
Stoke City,2,38,38,3420,48,1.26,176,128,.727,13,7,18,9,23.7,,,,
Sunderland,2,38,38,3420,56,1.47,206,150,.728,12,11,15,13,34.2,,,,
Tottenham,2,38,38,3420,46,1.21,183,137,.749,16,14,8,8,21.1,,,,
West Brom,2,38,38,3420,71,1.87,182,111,.610,12,11,15,2,5.3,,,,
West Ham,2,38,38,3420,70,1.84,243,173,.712,7,12,19,5,13.2,,,,
Wigan Athletic,3,38,38,3420,61,1.61,196,135,.689,9,15,14,7,18.4,,,,
Wolves,2,38,38,3420,66,1.74,199,133,.668,11,7,20,5,13.2,,,,
