,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,24.8,,38,418,,70,51,4,7,65,6,1.84,1.34,3.18,1.74,3.08
Aston Villa,32,27.5,,38,418,,45,32,4,6,70,2,1.18,0.84,2.03,1.08,1.92
Birmingham City,26,27.8,,38,418,,37,23,2,2,56,3,0.97,0.61,1.58,0.92,1.53
Blackburn,29,27.8,,38,418,,43,28,1,2,64,5,1.13,0.74,1.87,1.11,1.84
Blackpool,30,26.8,,38,418,,54,29,7,8,47,2,1.42,0.76,2.18,1.24,2.00
Bolton,24,28.1,,38,418,,50,34,4,5,66,5,1.32,0.89,2.21,1.21,2.11
Chelsea,24,28.2,,38,418,,68,39,6,8,59,1,1.79,1.03,2.82,1.63,2.66
Everton,24,28.1,,38,418,,50,33,3,4,56,5,1.32,0.87,2.18,1.24,2.11
Fulham,29,29.8,,38,418,,48,32,2,3,52,1,1.26,0.84,2.11,1.21,2.05
Liverpool,30,26.9,,38,418,,58,30,7,8,63,2,1.53,0.79,2.32,1.34,2.13
Manchester City,27,25.4,,38,418,,56,35,8,9,71,5,1.47,0.92,2.39,1.26,2.18
Manchester Utd,29,28.3,,38,418,,75,59,3,5,56,3,1.97,1.55,3.53,1.89,3.45
Newcastle Utd,30,26.3,,38,418,,55,35,5,5,78,2,1.45,0.92,2.37,1.32,2.24
Stoke City,25,27.6,,38,418,,44,28,3,3,69,2,1.16,0.74,1.89,1.08,1.82
Sunderland,31,25.0,,38,418,,41,23,4,5,56,5,1.08,0.61,1.68,0.97,1.58
Tottenham,28,26.6,,38,418,,54,34,5,5,50,2,1.42,0.89,2.32,1.29,2.18
West Brom,28,26.7,,38,418,,52,37,4,6,51,7,1.37,0.97,2.34,1.26,2.24
West Ham,35,27.9,,38,418,,41,21,5,6,58,1,1.08,0.55,1.63,0.95,1.50
Wigan Athletic,25,25.8,,38,418,,37,20,2,3,67,4,0.97,0.53,1.50,0.92,1.45
Wolves,30,25.8,,38,418,,45,29,3,3,62,2,1.18,0.76,1.95,1.11,1.87
