,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,36,0.95,128,92,.719,22,9,7,13,34.2,,,,
Aston Villa,3,38,38,3420,57,1.50,168,111,.661,10,8,20,10,26.3,,,,
Burnley,1,38,38,3420,53,1.39,178,125,.702,7,12,19,10,26.3,,,,
Chelsea,2,38,38,3420,32,0.84,121,89,.736,26,9,3,17,44.7,,,,
Crystal Palace,2,38,38,3420,51,1.34,144,93,.646,13,9,16,7,18.4,,,,
Everton,2,38,38,3420,50,1.32,128,78,.609,12,11,15,10,26.3,,,,
Hull City,3,38,38,3420,51,1.34,153,102,.667,8,11,19,10,26.3,,,,
Leicester City,3,38,38,3420,55,1.45,172,117,.680,11,8,19,10,26.3,,,,
Liverpool,2,38,38,3420,48,1.26,139,91,.655,18,8,12,14,36.8,,,,
Manchester City,2,38,38,3420,38,1.00,128,90,.703,24,7,7,14,36.8,,,,
Manchester Utd,2,38,38,3420,37,0.97,134,97,.724,20,10,8,11,28.9,,,,
Newcastle Utd,3,38,38,3420,63,1.66,161,98,.609,10,9,19,8,21.1,,,,
QPR,2,38,38,3420,73,1.92,209,136,.651,8,6,24,6,15.8,,,,
Southampton,3,38,38,3420,33,0.87,109,76,.697,18,6,14,15,39.5,,,,
Stoke City,2,38,38,3420,45,1.18,139,94,.676,15,9,14,9,23.7,,,,
Sunderland,2,38,38,3420,53,1.39,191,138,.723,7,17,14,13,34.2,,,,
Swansea City,2,38,38,3420,49,1.29,188,139,.739,16,8,14,13,34.2,,,,
Tottenham,2,38,38,3420,53,1.39,170,117,.688,19,7,12,9,23.7,,,,
West Brom,2,38,38,3420,51,1.34,182,131,.720,11,11,16,16,42.1,,,,
West Ham,2,38,38,3420,47,1.24,174,127,.730,12,11,15,9,23.7,,,,
