,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,26,28.3,,38,418,,62,52,1,2,48,3,1.63,1.37,3.00,1.61,2.97
Aston Villa,22,28.0,,38,419,,46,35,1,1,64,3,1.21,0.92,2.13,1.18,2.11
Bradford City,27,30.4,,38,366,,26,17,3,5,58,1,0.68,0.45,1.13,0.61,1.05
Charlton Ath,27,26.8,,38,418,,47,33,3,3,47,2,1.24,0.87,2.11,1.16,2.03
Chelsea,26,28.1,,38,411,,67,49,4,4,75,2,1.76,1.29,3.05,1.66,2.95
Coventry City,26,25.7,,38,418,,33,22,3,3,76,2,0.87,0.58,1.45,0.79,1.37
Derby County,29,25.3,,38,415,,36,24,2,3,79,3,0.95,0.63,1.58,0.89,1.53
Everton,31,27.1,,38,414,,45,28,5,7,78,4,1.18,0.74,1.92,1.05,1.79
Ipswich Town,23,26.4,,38,438,,56,39,3,3,32,2,1.47,1.03,2.50,1.39,2.42
Leeds United,24,24.6,,38,425,,63,44,3,4,72,3,1.66,1.16,2.82,1.58,2.74
Leicester City,28,27.3,,38,425,,39,31,3,3,57,2,1.03,0.82,1.84,0.95,1.76
Liverpool,24,25.4,,38,415,,70,48,3,4,53,4,1.84,1.26,3.11,1.76,3.03
Manchester City,30,26.1,,38,434,,38,28,2,2,68,3,1.00,0.74,1.74,0.95,1.68
Manchester Utd,27,26.9,,38,418,,77,60,2,3,44,3,2.03,1.58,3.61,1.97,3.55
Middlesbrough,26,29.4,,38,438,,43,25,3,3,73,6,1.13,0.66,1.79,1.05,1.71
Newcastle Utd,28,25.8,,38,424,,42,27,5,7,48,5,1.11,0.71,1.82,0.97,1.68
Southampton,24,27.2,,38,433,,40,28,0,0,49,1,1.05,0.74,1.79,1.05,1.79
Sunderland,25,26.4,,38,395,,46,32,2,4,78,5,1.21,0.84,2.05,1.16,2.00
Tottenham,28,26.3,,38,418,,46,31,3,4,47,3,1.21,0.82,2.03,1.13,1.95
West Ham,32,27.2,,38,409,,45,30,4,4,70,2,1.18,0.79,1.97,1.08,1.87
