,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,27.0,58.3,38,418,3420,62,53,1,2,0,0,1.63,1.39,3.03,1.61,3.00
Aston Villa,29,26.6,46.4,38,418,3420,24,19,2,2,0,0,0.63,0.50,1.13,0.58,1.08
Bournemouth,28,27.7,51.2,38,418,3420,43,28,3,4,0,0,1.13,0.74,1.87,1.05,1.79
Chelsea,28,26.8,56.2,38,418,3420,55,40,4,5,0,0,1.45,1.05,2.50,1.34,2.39
Crystal Palace,30,27.7,45.8,38,418,3420,38,21,4,5,0,0,1.00,0.55,1.55,0.89,1.45
Everton,31,26.5,51.9,38,418,3420,56,44,4,5,0,0,1.47,1.16,2.63,1.37,2.53
Leicester City,23,27.7,42.6,38,418,3420,68,43,10,13,0,0,1.79,1.13,2.92,1.53,2.66
Liverpool,34,25.2,57.2,38,418,3420,62,50,2,2,0,0,1.63,1.32,2.95,1.58,2.89
Manchester City,25,28.3,56.9,38,418,3420,71,53,5,8,0,0,1.87,1.39,3.26,1.74,3.13
Manchester Utd,33,25.6,58.5,38,418,3420,46,31,3,3,0,0,1.21,0.82,2.03,1.13,1.95
Newcastle Utd,31,25.4,46.6,38,418,3420,43,34,3,3,0,0,1.13,0.89,2.03,1.05,1.95
Norwich City,28,27.7,46.0,38,418,3420,38,27,1,1,0,0,1.00,0.71,1.71,0.97,1.68
Southampton,26,26.4,49.2,38,418,3420,58,45,3,4,0,0,1.53,1.18,2.71,1.45,2.63
Stoke City,27,27.4,49.7,38,418,3420,40,29,5,5,0,0,1.05,0.76,1.82,0.92,1.68
Sunderland,31,27.3,41.0,38,418,3420,44,30,3,3,0,0,1.16,0.79,1.95,1.08,1.87
Swansea City,27,27.6,52.5,38,418,3420,41,25,5,5,0,0,1.08,0.66,1.74,0.95,1.61
Tottenham,24,24.5,57.4,38,418,3420,68,50,5,5,0,0,1.79,1.32,3.11,1.66,2.97
Watford,25,28.2,45.1,38,418,3420,38,18,6,7,0,0,1.00,0.47,1.47,0.84,1.32
West Brom,28,29.1,39.8,38,418,3420,32,25,1,5,0,0,0.84,0.66,1.50,0.82,1.47
West Ham,28,26.6,48.4,38,418,3420,64,38,4,4,0,0,1.68,1.00,2.68,1.58,2.58
