,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,20,27.5,,42,452,,50,27,4,5,34,1,1.19,0.64,1.83,1.10,1.74
Aston Villa,24,27.5,,42,458,,45,28,3,3,22,1,1.07,0.67,1.74,1.00,1.67
Blackburn,21,25.4,,42,481,,63,42,3,4,29,0,1.50,1.00,2.50,1.43,2.43
Chelsea,26,25.7,,42,481,,51,28,3,5,27,2,1.21,0.67,1.88,1.14,1.81
Coventry City,26,26.1,,42,466,,43,25,3,5,14,0,1.02,0.60,1.62,0.95,1.55
Everton,21,27.7,,42,467,,43,23,3,4,34,0,1.02,0.55,1.57,0.95,1.50
Ipswich Town,19,27.8,,42,441,,31,19,2,3,24,0,0.74,0.45,1.19,0.69,1.14
Leeds United,22,26.3,,42,468,,63,38,1,2,36,0,1.50,0.90,2.40,1.48,2.38
Liverpool,22,26.5,,42,465,,54,35,5,7,31,1,1.29,0.83,2.12,1.17,2.00
Manchester City,29,25.9,,42,433,,35,15,1,2,34,0,0.83,0.36,1.19,0.81,1.17
Manchester Utd,24,27.2,,42,468,,79,55,3,3,31,2,1.88,1.31,3.19,1.81,3.12
Newcastle Utd,23,25.9,,42,440,,80,50,9,10,21,1,1.90,1.19,3.10,1.69,2.88
Norwich City,21,27.1,,42,470,,64,39,1,1,25,2,1.52,0.93,2.45,1.50,2.43
Oldham Athletic,24,26.2,,42,453,,40,25,1,2,32,4,0.95,0.60,1.55,0.93,1.52
QPR,21,27.3,,42,461,,60,37,5,6,27,3,1.43,0.88,2.31,1.31,2.19
Sheffield Utd,25,26.2,,42,447,,41,26,0,0,38,4,0.98,0.62,1.60,0.98,1.60
Sheffield Weds,24,26.8,,42,450,,71,47,2,3,21,2,1.69,1.12,2.81,1.64,2.76
Southampton,25,26.7,,42,438,,50,30,7,7,40,1,1.19,0.71,1.90,1.02,1.74
Swindon Town,24,27.5,,42,464,,45,28,7,8,38,1,1.07,0.67,1.74,0.90,1.57
Tottenham,26,25.4,,42,485,,53,31,2,4,23,1,1.26,0.74,2.00,1.21,1.95
West Ham,20,28.4,,42,424,,44,29,2,3,22,1,1.05,0.69,1.74,1.00,1.69
Wimbledon,22,26.5,,42,440,,49,28,1,2,38,0,1.17,0.67,1.83,1.14,1.81
