,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,36,0.95,178,142,.798,26,9,3,14,36.8,,,,
Aston Villa,2,38,38,3420,47,1.24,193,146,.756,12,14,12,9,23.7,,,,
Blackburn,2,38,38,3420,51,1.34,250,199,.796,12,10,16,8,21.1,,,,
Bolton,4,38,38,3420,62,1.63,248,186,.750,9,13,16,7,18.4,,,,
Charlton Ath,1,38,38,3420,49,1.29,223,174,.780,10,14,14,12,31.6,,,,
Chelsea,3,38,38,3510,38,0.97,192,154,.802,17,13,8,15,39.5,,,,
Derby County,3,38,38,3410,63,1.66,248,185,.746,8,6,24,7,18.4,,,,
Everton,2,38,38,3420,57,1.50,241,184,.763,11,10,17,11,28.9,,,,
Fulham,2,38,38,3420,44,1.16,207,163,.787,10,14,14,15,39.5,,,,
Ipswich Town,3,38,38,3150,64,1.83,224,160,.714,9,9,20,8,21.1,,,,
Leeds United,1,38,38,3420,37,0.97,195,158,.810,18,12,8,18,47.4,,,,
Leicester City,2,38,38,3420,64,1.68,242,178,.736,5,13,20,7,18.4,,,,
Liverpool,3,38,38,3330,30,0.81,156,126,.808,24,8,6,18,47.4,,,,
Manchester Utd,2,38,38,3440,44,1.15,168,124,.738,24,5,9,13,34.2,,,,
Middlesbrough,3,38,38,3399,47,1.24,249,202,.811,12,9,17,12,31.6,,,,
Newcastle Utd,1,38,38,3420,52,1.37,225,173,.769,21,8,9,9,23.7,,,,
Southampton,2,38,38,3420,54,1.42,204,150,.735,12,9,17,9,23.7,,,,
Sunderland,2,38,38,3420,51,1.34,229,178,.777,10,10,18,11,28.9,,,,
Tottenham,2,38,38,3420,53,1.39,199,146,.734,14,8,16,8,21.1,,,,
West Ham,2,38,38,3420,57,1.50,215,158,.735,15,8,15,13,34.2,,,,
