,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,24.6,,38,418,,73,57,5,6,57,3,1.92,1.50,3.42,1.79,3.29
Aston Villa,22,25.5,,38,418,,66,42,6,7,56,4,1.74,1.11,2.84,1.58,2.68
Birmingham City,28,25.3,,38,418,,44,21,6,6,68,3,1.16,0.55,1.71,1.00,1.55
Blackburn,22,28.0,,38,418,,50,32,5,6,74,6,1.32,0.84,2.16,1.18,2.03
Bolton,30,27.4,,38,417,,34,22,0,1,76,0,0.89,0.58,1.47,0.89,1.47
Chelsea,26,27.1,,38,417,,64,52,7,7,65,5,1.68,1.37,3.05,1.50,2.87
Derby County,36,27.6,,38,418,,19,12,0,0,63,1,0.50,0.32,0.82,0.50,0.82
Everton,23,26.9,,38,420,,53,30,1,1,40,3,1.39,0.79,2.18,1.37,2.16
Fulham,33,28.0,,38,418,,37,17,2,3,60,6,0.97,0.45,1.42,0.92,1.37
Liverpool,25,26.2,,38,418,,64,43,5,5,46,1,1.68,1.13,2.82,1.55,2.68
Manchester City,28,24.5,,38,418,,42,30,2,2,51,4,1.11,0.79,1.89,1.05,1.84
Manchester Utd,25,26.7,,38,418,,78,52,6,8,51,2,2.05,1.37,3.42,1.89,3.26
Middlesbrough,29,25.7,,38,416,,43,27,2,2,86,2,1.13,0.71,1.84,1.08,1.79
Newcastle Utd,26,27.0,,38,419,,43,27,4,4,66,1,1.13,0.71,1.84,1.03,1.74
Portsmouth,28,28.2,,38,419,,46,32,4,7,58,3,1.21,0.84,2.05,1.11,1.95
Reading,26,27.6,,38,418,,41,26,2,4,61,5,1.08,0.68,1.76,1.03,1.71
Sunderland,31,24.9,,38,418,,36,21,1,2,67,4,0.95,0.55,1.50,0.92,1.47
Tottenham,30,25.5,,38,418,,65,35,4,6,52,1,1.71,0.92,2.63,1.61,2.53
West Ham,28,26.5,,38,418,,39,29,2,2,66,2,1.03,0.76,1.79,0.97,1.74
Wigan Athletic,27,27.7,,38,418,,33,19,4,5,60,4,0.87,0.50,1.37,0.76,1.26
