,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,35,0.92,177,142,.802,19,11,8,12,31.6,,,,
Aston Villa,3,38,38,3420,41,1.08,207,166,.802,11,17,10,13,34.2,,,,
Blackburn,2,38,38,3420,54,1.42,277,223,.805,15,7,16,8,21.1,,,,
Bolton,1,38,38,3420,52,1.37,216,164,.759,16,8,14,12,31.6,,,,
Charlton Ath,3,38,38,3420,60,1.58,247,187,.757,8,10,20,11,28.9,,,,
Chelsea,3,38,38,3335,24,0.65,175,151,.863,24,11,3,22,57.9,,,,
Everton,3,38,38,3420,36,0.95,221,185,.837,15,13,10,14,36.8,,,,
Fulham,2,38,38,3420,60,1.58,237,177,.747,8,15,15,7,18.4,,,,
Liverpool,3,38,38,3420,27,0.71,173,146,.844,20,8,10,20,52.6,,,,
Manchester City,3,38,38,3420,44,1.16,199,155,.779,11,9,18,14,36.8,,,,
Manchester Utd,2,38,38,3420,27,0.71,176,149,.847,28,5,5,16,42.1,,,,
Middlesbrough,2,38,38,3420,49,1.29,234,185,.791,12,10,16,9,23.7,,,,
Newcastle Utd,3,38,38,3416,47,1.24,224,177,.790,11,10,17,7,18.4,,,,
Portsmouth,1,38,38,3420,42,1.11,214,172,.804,14,12,12,12,31.6,,,,
Reading,2,38,38,3420,47,1.24,223,176,.789,16,7,15,13,34.2,,,,
Sheffield Utd,4,38,38,3420,55,1.45,236,181,.767,10,8,20,9,23.7,,,,
Tottenham,1,38,38,3420,54,1.42,196,142,.724,17,9,12,6,15.8,,,,
Watford,2,38,38,3419,59,1.55,272,213,.783,5,13,20,9,23.7,,,,
West Ham,2,38,38,3420,59,1.55,239,180,.753,12,5,21,9,23.7,,,,
Wigan Athletic,3,38,38,3420,60,1.58,236,176,.746,10,8,20,10,26.3,,,,
