,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,30,27.7,,42,471,,54,41,3,4,60,4,1.29,0.98,2.26,1.21,2.19
Aston Villa,23,27.3,,42,423,,48,39,1,1,59,3,1.14,0.93,2.07,1.12,2.05
Blackburn,19,25.5,,42,482,,78,58,10,12,50,4,1.86,1.38,3.24,1.62,3.00
Chelsea,23,26.4,,42,456,,47,39,1,2,56,3,1.12,0.93,2.05,1.10,2.02
Coventry City,27,27.8,,42,500,,42,36,5,5,52,3,1.00,0.86,1.86,0.88,1.74
Crystal Palace,22,25.5,,42,436,,33,22,1,3,56,1,0.79,0.52,1.31,0.76,1.29
Everton,24,27.1,,42,466,,43,39,1,3,70,6,1.02,0.93,1.95,1.00,1.93
Ipswich Town,27,28.4,,42,405,,27,21,3,3,51,2,0.64,0.50,1.14,0.57,1.07
Leeds United,20,26.8,,42,458,,56,46,3,4,70,0,1.33,1.10,2.43,1.26,2.36
Leicester City,28,25.6,,42,467,,46,27,0,1,62,8,1.10,0.64,1.74,1.10,1.74
Liverpool,20,25.3,,42,463,,60,46,5,6,43,1,1.43,1.10,2.52,1.31,2.40
Manchester City,26,26.8,,42,459,,53,46,1,2,62,5,1.26,1.10,2.36,1.24,2.33
Manchester Utd,23,26.9,,42,460,,76,58,4,4,59,3,1.81,1.38,3.19,1.71,3.10
Newcastle Utd,22,26.4,,42,463,,66,54,4,5,48,4,1.57,1.29,2.86,1.48,2.76
Norwich City,24,25.8,,42,445,,31,27,2,3,68,1,0.74,0.64,1.38,0.69,1.33
Nott'ham Forest,20,25.7,,42,462,,71,68,5,6,58,1,1.69,1.62,3.31,1.57,3.19
QPR,22,26.8,,42,461,,60,47,0,1,70,4,1.43,1.12,2.55,1.43,2.55
Sheffield Weds,25,26.8,,42,463,,48,34,1,2,54,2,1.14,0.81,1.95,1.12,1.93
Southampton,24,25.8,,42,441,,61,36,3,3,70,0,1.45,0.86,2.31,1.38,2.24
Tottenham,24,26.0,,42,458,,62,49,2,3,46,2,1.48,1.17,2.64,1.43,2.60
West Ham,24,28.0,,42,461,,44,32,5,5,66,4,1.05,0.76,1.81,0.93,1.69
Wimbledon,23,26.7,,42,414,,40,34,3,4,70,6,0.95,0.81,1.76,0.88,1.69
