,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,23,28.8,,38,418,,49,35,3,5,62,2,1.29,0.92,2.21,1.21,2.13
Aston Villa,22,25.3,,38,415,,49,37,2,2,46,2,1.29,0.97,2.26,1.24,2.21
Blackburn,25,26.3,,38,427,,60,45,3,3,66,4,1.58,1.18,2.76,1.50,2.68
Bolton,23,27.1,,38,418,,39,27,3,3,64,3,1.03,0.71,1.74,0.95,1.66
Chelsea,22,27.5,,38,434,,45,34,3,4,65,3,1.18,0.89,2.08,1.11,2.00
Coventry City,26,27.1,,38,422,,42,31,1,2,62,3,1.11,0.82,1.92,1.08,1.89
Everton,23,27.9,,38,423,,63,45,4,4,64,3,1.66,1.18,2.84,1.55,2.74
Leeds United,28,27.2,,38,403,,38,28,2,3,59,4,1.00,0.74,1.74,0.95,1.68
Liverpool,18,25.7,,38,421,,68,54,1,1,39,0,1.79,1.42,3.21,1.76,3.18
Manchester City,24,26.4,,38,386,,33,26,1,2,67,6,0.87,0.68,1.55,0.84,1.53
Manchester Utd,21,25.5,,38,422,,72,62,4,4,50,3,1.89,1.63,3.53,1.79,3.42
Middlesbrough,28,26.0,,38,418,,34,27,3,4,72,3,0.89,0.71,1.61,0.82,1.53
Newcastle Utd,18,26.8,,38,401,,68,54,3,4,47,1,1.79,1.42,3.21,1.71,3.13
Nott'ham Forest,19,26.0,,38,407,,48,35,3,3,46,2,1.26,0.92,2.18,1.18,2.11
QPR,25,26.3,,38,419,,37,33,0,1,75,4,0.97,0.87,1.84,0.97,1.84
Sheffield Weds,25,27.9,,38,401,,48,37,4,4,37,1,1.26,0.97,2.24,1.16,2.13
Southampton,23,26.2,,38,417,,33,21,4,4,62,2,0.87,0.55,1.42,0.76,1.32
Tottenham,21,27.5,,38,424,,47,38,2,2,52,0,1.24,1.00,2.24,1.18,2.18
West Ham,27,28.2,,38,422,,43,29,5,6,51,4,1.13,0.76,1.89,1.00,1.76
Wimbledon,29,27.1,,38,421,,54,39,2,2,55,7,1.42,1.03,2.45,1.37,2.39
