,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,42,42,3880,38,0.88,201,163,.811,15,11,16,16,38.1,,,,
Aston Villa,2,42,42,3780,40,0.95,189,149,.788,21,11,10,15,35.7,,,,
Blackburn,1,42,42,3780,46,1.10,184,138,.750,20,11,11,19,45.2,,,,
Chelsea,4,42,42,3780,54,1.29,210,156,.743,14,14,14,11,26.2,,,,
Coventry City,2,42,42,3780,57,1.36,191,134,.702,13,13,16,11,26.2,,,,
Crystal Palace,1,42,42,3780,61,1.45,201,140,.697,11,16,15,11,26.2,,,,
Everton,2,42,42,3780,55,1.31,196,141,.719,15,8,19,11,26.2,,,,
Ipswich Town,3,42,42,3780,55,1.31,188,133,.707,12,16,14,12,28.6,,,,
Leeds United,3,42,42,3780,62,1.48,185,123,.665,12,15,15,11,26.2,,,,
Liverpool,3,42,42,3790,55,1.31,191,136,.712,16,11,15,12,28.6,,,,
Manchester City,3,42,42,3780,51,1.21,188,137,.729,15,12,15,11,26.2,,,,
Manchester Utd,1,42,42,3780,31,0.74,142,111,.782,24,12,6,18,42.9,,,,
Middlesbrough,4,42,42,3659,75,1.84,219,144,.658,11,11,20,8,19.0,,,,
Norwich City,1,42,42,3780,65,1.55,206,141,.684,21,9,12,11,26.2,,,,
Nott'ham Forest,2,42,42,3780,62,1.48,208,146,.702,10,10,22,9,21.4,,,,
Oldham Athletic,3,42,42,3780,74,1.76,208,134,.644,13,10,19,3,7.1,,,,
QPR,2,42,42,3770,55,1.31,192,137,.714,17,12,13,8,19.0,,,,
Sheffield Utd,2,42,42,3820,53,1.25,201,148,.736,14,10,18,11,26.2,,,,
Sheffield Weds,2,42,42,3780,51,1.21,178,127,.713,15,14,13,9,21.4,,,,
Southampton,1,42,42,3780,61,1.45,212,151,.712,13,11,18,10,23.8,,,,
Tottenham,2,42,42,3720,66,1.60,186,120,.645,16,11,15,10,23.8,,,,
Wimbledon,2,42,42,3780,55,1.31,188,133,.707,14,12,16,13,31.0,,,,
