,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,38,38,3420,31,0.82,169,138,.817,20,7,11,16,42.1,,,,
Aston Villa,2,38,38,3420,55,1.45,251,196,.781,10,12,16,11,28.9,,,,
Birmingham City,2,38,38,3420,50,1.32,222,172,.775,8,10,20,10,26.3,,,,
Blackburn,1,38,38,3420,42,1.11,185,143,.773,19,6,13,16,42.1,,,,
Bolton,1,38,38,3420,41,1.08,188,147,.782,15,11,12,15,39.5,,,,
Charlton Ath,2,38,38,3150,47,1.34,211,164,.777,13,8,17,13,34.2,,,,
Chelsea,3,38,38,3420,22,0.58,154,132,.857,29,4,5,20,52.6,,,,
Everton,4,38,38,3879,58,1.35,231,173,.749,14,8,16,13,34.2,,,,
Fulham,3,38,38,3420,58,1.53,226,168,.743,14,6,18,10,26.3,,,,
Liverpool,2,38,38,3412,25,0.66,163,138,.847,25,7,6,22,57.9,,,,
Manchester City,1,38,38,3420,48,1.26,206,158,.767,13,4,21,6,15.8,,,,
Manchester Utd,2,38,38,3420,34,0.89,187,153,.818,25,8,5,18,47.4,,,,
Middlesbrough,3,38,38,3420,58,1.53,222,164,.739,12,9,17,10,26.3,,,,
Newcastle Utd,1,38,38,3420,42,1.11,175,133,.760,17,7,14,13,34.2,,,,
Portsmouth,2,38,38,3150,61,1.74,194,133,.686,10,8,20,5,13.2,,,,
Sunderland,2,38,38,3420,69,1.82,277,208,.751,3,6,29,4,10.5,,,,
Tottenham,1,38,38,3420,38,1.00,165,127,.770,18,11,9,13,34.2,,,,
West Brom,2,38,38,3391,56,1.49,245,189,.771,7,9,22,10,26.3,,,,
West Ham,4,38,38,3420,55,1.45,219,164,.749,16,7,15,9,23.7,,,,
Wigan Athletic,2,38,38,3420,52,1.37,201,149,.741,15,6,17,10,26.3,,,,
