,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,38,38,3420,26,0.68,114,88,.772,26,12,0,15,39.5,,,,
Aston Villa,2,38,38,3420,44,1.16,173,129,.746,15,11,12,12,31.6,,,,
Birmingham City,2,38,38,3420,48,1.26,183,135,.738,12,14,12,15,39.5,,,,
Blackburn,2,38,38,3420,59,1.55,201,142,.706,12,8,18,8,21.1,,,,
Bolton,1,38,38,3420,56,1.47,182,126,.692,14,11,13,10,26.3,,,,
Charlton Ath,2,38,38,3420,51,1.34,205,154,.751,14,11,13,10,26.3,,,,
Chelsea,3,38,38,3420,30,0.79,125,95,.760,24,7,7,21,55.3,,,,
Everton,3,38,38,3330,57,1.54,190,133,.700,9,12,17,10,26.3,,,,
Fulham,2,38,38,3330,46,1.24,207,161,.778,14,10,14,15,39.5,,,,
Leeds United,2,38,38,3420,79,2.08,215,136,.633,8,9,21,3,7.9,,,,
Leicester City,2,38,38,3420,65,1.71,210,145,.690,6,15,17,9,23.7,,,,
Liverpool,3,38,38,3240,35,0.97,139,104,.748,16,12,10,15,39.5,,,,
Manchester City,3,38,38,3420,54,1.42,184,130,.707,9,14,15,7,18.4,,,,
Manchester Utd,2,38,38,3330,35,0.95,163,128,.785,23,6,9,14,36.8,,,,
Middlesbrough,3,38,38,3420,52,1.37,182,130,.714,13,9,16,14,36.8,,,,
Newcastle Utd,1,38,38,3420,40,1.05,171,131,.766,13,17,8,11,28.9,,,,
Portsmouth,3,38,38,3420,54,1.42,192,138,.719,12,9,17,8,21.1,,,,
Southampton,2,38,38,2700,39,1.30,179,140,.782,12,11,15,12,31.6,,,,
Tottenham,1,38,38,3420,57,1.50,198,141,.712,13,6,19,8,21.1,,,,
Wolves,3,38,38,4320,85,1.77,283,198,.700,7,12,19,7,18.4,,,,
