,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,28,27.8,,38,418,,84,66,5,6,47,2,2.21,1.74,3.95,2.08,3.82
Aston Villa,27,26.2,,38,418,,42,29,3,4,58,4,1.11,0.76,1.87,1.03,1.79
Birmingham City,34,27.9,,38,418,,40,26,4,5,66,3,1.05,0.68,1.74,0.95,1.63
Blackburn,27,27.7,,38,418,,50,38,5,6,55,4,1.32,1.00,2.32,1.18,2.18
Bolton,27,29.1,,38,418,,38,24,1,2,54,3,1.00,0.63,1.63,0.97,1.61
Charlton Ath,26,26.9,,38,420,,43,24,4,5,47,1,1.13,0.63,1.76,1.03,1.66
Chelsea,21,27.8,,38,416,,67,40,3,3,54,1,1.76,1.05,2.82,1.68,2.74
Everton,26,27.4,,38,392,,48,32,4,4,39,5,1.26,0.84,2.11,1.16,2.00
Fulham,27,27.3,,38,417,,38,23,6,7,46,6,1.00,0.61,1.61,0.84,1.45
Leeds United,26,26.0,,38,401,,54,39,4,5,62,1,1.42,1.03,2.45,1.32,2.34
Liverpool,23,24.9,,38,418,,61,49,4,6,35,1,1.61,1.29,2.89,1.50,2.79
Manchester City,26,27.8,,38,419,,47,40,2,2,40,5,1.24,1.05,2.29,1.18,2.24
Manchester Utd,26,27.0,,38,418,,73,56,9,9,39,1,1.92,1.47,3.39,1.68,3.16
Middlesbrough,29,26.4,,38,418,,48,31,2,3,43,4,1.26,0.82,2.08,1.21,2.03
Newcastle Utd,25,24.8,,38,420,,63,42,3,4,40,2,1.66,1.11,2.76,1.58,2.68
Southampton,24,27.2,,38,417,,42,24,6,6,33,3,1.11,0.63,1.74,0.95,1.58
Sunderland,33,26.0,,38,413,,21,16,1,3,47,0,0.55,0.42,0.97,0.53,0.95
Tottenham,24,28.0,,38,414,,50,35,3,3,50,4,1.32,0.92,2.24,1.24,2.16
West Brom,22,27.2,,38,418,,29,11,1,1,45,4,0.76,0.29,1.05,0.74,1.03
West Ham,24,27.4,,38,422,,41,29,4,5,49,4,1.08,0.76,1.84,0.97,1.74
