,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,21,28.2,,38,415,,66,56,5,6,72,4,1.74,1.47,3.21,1.61,3.08
Aston Villa,18,25.8,,38,416,,49,39,3,4,45,2,1.29,1.03,2.32,1.21,2.24
Barnsley,21,26.4,,38,387,,37,18,3,5,68,5,0.97,0.47,1.45,0.89,1.37
Blackburn,19,26.9,,38,410,,55,54,2,2,58,4,1.45,1.42,2.87,1.39,2.82
Bolton,24,27.8,,38,433,,41,33,3,3,68,5,1.08,0.87,1.95,1.00,1.87
Chelsea,25,28.0,,38,416,,67,66,6,6,68,3,1.76,1.74,3.50,1.61,3.34
Coventry City,20,27.3,,38,398,,46,32,5,7,70,5,1.21,0.84,2.05,1.08,1.92
Crystal Palace,24,25.6,,38,389,,35,27,1,2,72,3,0.92,0.71,1.63,0.89,1.61
Derby County,23,25.6,,38,416,,52,36,5,6,80,2,1.37,0.95,2.32,1.24,2.18
Everton,30,25.9,,38,401,,38,30,0,0,77,5,1.00,0.79,1.79,1.00,1.79
Leeds United,19,25.8,,38,418,,52,43,1,2,76,5,1.37,1.13,2.50,1.34,2.47
Leicester City,20,26.6,,38,418,,51,40,4,4,43,2,1.34,1.05,2.39,1.24,2.29
Liverpool,22,25.4,,38,416,,68,57,4,5,52,2,1.79,1.50,3.29,1.68,3.18
Manchester Utd,23,26.4,,38,418,,68,57,3,6,61,1,1.79,1.50,3.29,1.71,3.21
Newcastle Utd,24,27.4,,38,411,,35,25,1,2,61,3,0.92,0.66,1.58,0.89,1.55
Sheffield Weds,25,27.8,,38,430,,51,44,3,3,68,4,1.34,1.16,2.50,1.26,2.42
Southampton,24,27.6,,38,413,,48,37,5,5,58,4,1.26,0.97,2.24,1.13,2.11
Tottenham,25,27.3,,38,415,,44,39,0,2,56,2,1.16,1.03,2.18,1.16,2.18
West Ham,23,25.3,,38,413,,53,42,1,1,62,5,1.39,1.11,2.50,1.37,2.47
Wimbledon,21,26.6,,38,429,,32,29,1,1,56,2,0.84,0.76,1.61,0.82,1.58
