,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,38,1.00,133,95,.714,20,10,8,17,44.7,,,,
Aston Villa,1,38,38,3420,43,1.13,166,123,.741,13,15,10,9,23.7,,,,
Bradford City,3,38,38,3583,73,1.83,275,202,.735,5,11,22,6,15.8,,,,
Charlton Ath,3,38,38,3420,58,1.53,195,137,.703,14,10,14,14,36.8,,,,
Chelsea,2,38,38,3420,45,1.18,150,105,.700,17,10,11,10,26.3,,,,
Coventry City,3,38,38,3420,63,1.66,220,157,.714,8,10,20,6,15.8,,,,
Derby County,2,38,38,3420,61,1.61,219,158,.721,10,12,16,9,23.7,,,,
Everton,3,38,38,3420,59,1.55,172,113,.657,11,9,18,8,21.1,,,,
Ipswich Town,2,38,38,3420,42,1.11,157,115,.732,20,6,12,13,34.2,,,,
Leeds United,2,38,38,3420,43,1.13,162,119,.735,20,8,10,11,28.9,,,,
Leicester City,2,38,38,3420,51,1.34,202,151,.748,14,6,18,11,28.9,,,,
Liverpool,1,38,38,3420,39,1.03,165,126,.764,20,9,9,14,36.8,,,,
Manchester City,3,38,38,3420,65,1.71,204,139,.681,8,10,20,7,18.4,,,,
Manchester Utd,4,38,38,3420,31,0.82,140,109,.779,24,8,6,17,44.7,,,,
Middlesbrough,2,38,38,3150,41,1.17,180,139,.772,9,15,14,9,23.7,,,,
Newcastle Utd,2,38,38,3420,50,1.32,179,129,.721,14,9,15,7,18.4,,,,
Southampton,2,38,38,3420,48,1.26,182,134,.736,14,10,14,14,36.8,,,,
Sunderland,2,38,38,3420,41,1.08,176,135,.767,15,12,11,13,34.2,,,,
Tottenham,2,38,38,3420,53,1.39,208,155,.745,13,10,15,11,28.9,,,,
West Ham,3,38,38,3420,48,1.26,180,132,.733,10,12,16,13,34.2,,,,
