,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,38,38,3420,32,0.84,157,125,.796,17,12,9,16,42.1,,,,
Aston Villa,2,38,38,3420,35,0.92,153,118,.771,18,9,11,13,34.2,,,,
Blackburn,2,38,38,3420,47,1.24,161,114,.708,18,7,13,10,26.3,,,,
Bolton,3,38,38,3420,71,1.87,216,145,.671,8,5,25,4,10.5,,,,
Chelsea,2,38,38,3420,44,1.16,172,128,.744,12,14,12,12,31.6,,,,
Coventry City,2,38,38,3420,60,1.58,205,145,.707,8,14,16,10,26.3,,,,
Everton,1,38,38,3420,44,1.16,169,125,.740,17,10,11,15,39.5,,,,
Leeds United,3,38,38,3420,57,1.50,197,140,.711,12,7,19,10,26.3,,,,
Liverpool,1,38,38,3420,34,0.89,166,132,.795,20,11,7,16,42.1,,,,
Manchester City,1,38,38,3420,58,1.53,203,145,.714,9,11,18,9,23.7,,,,
Manchester Utd,2,38,38,3420,35,0.92,154,119,.773,25,7,6,18,47.4,,,,
Middlesbrough,2,38,38,3420,50,1.32,187,137,.733,11,10,17,10,26.3,,,,
Newcastle Utd,2,38,38,3320,37,1.00,160,123,.769,24,6,8,13,34.2,,,,
Nott'ham Forest,1,38,38,3420,54,1.42,173,119,.688,15,13,10,9,23.7,,,,
QPR,2,38,38,3420,57,1.50,208,151,.726,9,6,23,5,13.2,,,,
Sheffield Weds,3,38,38,3420,61,1.61,208,147,.707,10,10,18,8,21.1,,,,
Southampton,2,38,38,3420,52,1.37,192,140,.729,9,11,18,11,28.9,,,,
Tottenham,1,38,38,3420,38,1.00,164,126,.768,16,13,9,11,28.9,,,,
West Ham,4,38,38,3434,52,1.36,171,119,.696,14,9,15,11,28.9,,,,
Wimbledon,5,38,38,3420,70,1.84,222,152,.685,10,11,17,6,15.8,,,,
