,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,26.8,,38,418,,68,48,3,3,0,0,1.79,1.26,3.05,1.71,2.97
Aston Villa,26,24.6,,38,418,,38,25,2,4,0,0,1.00,0.66,1.66,0.95,1.61
Cardiff City,32,25.4,,38,418,,31,24,1,1,0,0,0.82,0.63,1.45,0.79,1.42
Chelsea,29,27.7,,38,418,,69,39,5,7,0,0,1.82,1.03,2.84,1.68,2.71
Crystal Palace,32,28.1,,38,418,,32,21,5,6,0,0,0.84,0.55,1.39,0.71,1.26
Everton,28,27.6,,38,418,,58,42,3,3,0,0,1.53,1.11,2.63,1.45,2.55
Fulham,39,29.0,,38,418,,38,28,2,3,0,0,1.00,0.74,1.74,0.95,1.68
Hull City,27,27.5,,38,418,,35,21,2,3,0,0,0.92,0.55,1.47,0.87,1.42
Liverpool,25,25.7,,38,418,,97,61,10,12,0,0,2.55,1.61,4.16,2.29,3.89
Manchester City,23,27.7,,38,418,,97,63,6,7,0,0,2.55,1.66,4.21,2.39,4.05
Manchester Utd,30,26.7,,38,418,,63,37,5,5,0,0,1.66,0.97,2.63,1.53,2.50
Newcastle Utd,26,26.4,,38,418,,41,25,2,3,0,0,1.08,0.66,1.74,1.03,1.68
Norwich City,25,26.3,,38,418,,28,18,1,2,0,0,0.74,0.47,1.21,0.71,1.18
Southampton,24,25.1,,38,418,,52,37,3,3,0,0,1.37,0.97,2.34,1.29,2.26
Stoke City,26,27.3,,38,418,,44,26,4,5,0,0,1.16,0.68,1.84,1.05,1.74
Sunderland,31,26.5,,38,418,,41,24,6,6,0,0,1.08,0.63,1.71,0.92,1.55
Swansea City,27,26.5,,38,418,,47,37,4,4,0,0,1.24,0.97,2.21,1.13,2.11
Tottenham,28,25.2,,38,418,,50,33,5,6,0,0,1.32,0.87,2.18,1.18,2.05
West Brom,28,28.4,,38,418,,41,27,2,2,0,0,1.08,0.71,1.79,1.03,1.74
West Ham,29,28.5,,38,418,,36,22,2,2,0,0,0.95,0.58,1.53,0.89,1.47
